City,Location,Bedrooms,Bathrooms,Parking,Price
Westlands,Spring Valley,4,0,1,3000
Westlands,Westlands Area,2,2,1,150000
Westlands,Riverside,3,3,1,200000
Nairobi,Upper Hill,1,1,1,100000
Westlands,Brookside,4,3,1,120000
Westlands,Riverside,2,2,1,210000
Westlands,Riverside,2,2,1,180000
Westlands,Riverside,3,3,1,300000
Nairobi,Kilimani,3,3,1,200000
Westlands,Riverside,4,4,1,160000
Westlands,Riverside,3,3,1,325000
Westlands,Westlands Area,3,3,1,137000
Nairobi,Lavington,3,3,1,140000
Westlands,General Mathenge,3,3,1,330000
Westlands,Riverside,2,2,1,140000
Westlands,Parklands,3,3,1,250000
Westlands,General Mathenge,3,3,1,150000
Westlands,Brookside,3,4,1,225000
Westlands,Riverside,3,4,1,120000
Westlands,Parklands,3,3,1,300000
Westlands,Parklands,2,2,1,200000
Westlands,Spring Valley,2,2,1,150000
Westlands,Spring Valley,4,4,1,400000
Westlands,Spring Valley,3,3,1,190000
Westlands,Westlands Area,2,2,1,200000
Westlands,Mountain View,2,2,1,55000
Westlands,Rosslyn,1,1,1,150000
Westlands,Mountain View,3,3,1,60000
Westlands,Gigiri,2,2,1,200000
Westlands,Loresho,3,2,1,60000
Westlands,Westlands Area,2,2,1,350000
Nairobi,Kilimani,2,2,1,170000
Westlands,Riverside,2,2,1,300000
Westlands,General Mathenge,3,3,1,120000
Nyali,Nyali Area,3,4,1,120000
Nairobi,Kilimani,3,3,1,140000
Westlands,General Mathenge,4,4,1,450000
Westlands,Rosslyn,2,2,1,220000
Westlands,Spring Valley,4,4,1,450000
Nairobi,State House,3,3,1,350000
Nairobi,Lavington,3,3,1,280000
Nairobi,Kileleshwa,3,3,1,150000
Westlands,Westlands Area,3,3,1,170000
Westlands,Spring Valley,2,2,1,95000
Westlands,Riverside,3,3,1,150000
Westlands,Riverside,3,3,1,350000
Westlands,Runda,2,2,1,170000
Westlands,General Mathenge,3,3,1,130000
Westlands,Spring Valley,3,3,1,400000
Nairobi,Kileleshwa,4,4,1,270000
Westlands,Riverside,3,4,1,350000
Nairobi,Lavington,2,2,1,220000
Nairobi,Lavington,2,2,1,200000
Westlands,General Mathenge,3,4,1,150000
Westlands,Spring Valley,3,3,1,180000
Westlands,Westlands Area,3,4,1,250000
Westlands,Westlands Area,3,3,1,150000
Nairobi,Kilimani,2,2,1,250000
Westlands,Riverside,3,3,1,230000
Nairobi,Westlands,0,0,0,0
Nairobi,Kilimani,0,0,0,0
Nairobi,Lavington,3,3,1,220000
Westlands,Spring Valley,4,4,1,3300
Nairobi,Kilimani,2,2,1,95000
Westlands,Riverside,3,3,1,180000
Westlands,Westlands Area,4,4,1,180000
Westlands,Westlands Area,1,1,1,180000
Westlands,Westlands Area,2,2,1,180000
Westlands,Westlands Area,2,2,1,55000
Westlands,Westlands Area,3,3,1,60000
Kiambu County,Ruaka,2,2,1,35000
Westlands,Waiyaki Way,3,3,1,60000
Westlands,Waiyaki Way,2,2,1,55000
Westlands,Brookside,3,3,1,2750
Nairobi,Kiambu Road,3,3,1,55000
Westlands,Westlands Area,2,2,1,250000
Nairobi,Lavington,3,4,1,100000
Nairobi,Kileleshwa,3,4,1,110000
Nairobi,Kilimani,2,2,1,200000
Westlands,General Mathenge,3,3,1,145000
Nairobi,Kilimani,2,2,1,130000
Nairobi,Kilimani,3,2,1,85000
Nairobi,Kileleshwa,0,0,0,0
Westlands,Parklands,3,4,1,280000
Westlands,Westlands Area,3,4,1,150000
Nairobi,Thika Road,2,2,0,170000
Kiambu County,Kiambu Town,2,1,1,33000
Nairobi,Thika Road,2,2,0,140000
Westlands,Gigiri,3,3,1,250000
Kiambu County,Ruaka,2,2,1,50000
Nairobi,Kilimani,2,2,1,180000
Westlands,Westlands Area,3,3,1,200000
Nairobi,Riara Road,3,2,1,75000
Nairobi,Muthaiga,2,3,1,250000
Westlands,Westlands Area,3,3,1,85000
Westlands,Riverside,4,4,0,200000
Mombasa Island,Mombasa CBD,4,5,1,150000
Westlands,Rosslyn,2,2,1,200000
Nairobi,Kilimani,2,2,1,100000
Roysambu,Garden Estate,2,2,1,100000
Nairobi,Kilimani,2,2,1,180000
Westlands,Riverside,3,2,1,90000
Nyali,Nyali Area,3,4,1,110000
Nairobi,Kilimani,3,3,1,289000
Westlands,Westlands Area,2,2,1,140000
Kiambu County,Ruaka,2,0,1,40000
Nairobi,Kileleshwa,3,3,0,250000
Westlands,Westlands Area,3,3,0,130000
Nairobi,Kilimani,3,3,1,160000
Westlands,Riverside,4,5,1,300000
Westlands,Westlands Area,3,4,1,75000
Westlands,Westlands Area,0,1,1,90000
Nairobi,Kileleshwa,3,3,1,135000
Westlands,Parklands,3,3,1,125000
Westlands,Parklands,3,2,1,180000
Westlands,General Mathenge,4,4,1,250000
Nairobi,Kilimani,3,4,1,230000
Nairobi,Kileleshwa,3,3,1,80000
Westlands,Parklands,3,3,1,280000
Nyali,Nyali Area,3,4,1,200000
Westlands,Gigiri,3,0,1,180000
Mombasa Island,Mombasa CBD,3,3,1,75000
Nairobi,Kilimani,3,2,1,75000
Nairobi,Utawala,1,1,1,16000
Nairobi,Lavington,3,3,1,150000
Nairobi,Kileleshwa,3,4,0,130000
Machakos County,Athi River,2,2,1,290000
Westlands,Parklands,3,3,1,400000
Nairobi,Nairobi CBD,1,1,0,110000
Nairobi,Kileleshwa,1,1,1,55000
Nairobi,Kilimani,3,3,0,160000
Westlands,Westlands Area,3,3,1,300000
Westlands,Parklands,2,2,1,160000
Nairobi,Kileleshwa,3,3,1,250000
Nairobi,Kilimani,2,2,1,200000
Nairobi,Lavington,2,2,1,70000
Westlands,Riverside,3,2,1,135000
Mombasa Island,Tudor,2,3,1,12000
Nyali,Nyali Area,1,1,1,4500
Nairobi,Kilimani,2,3,1,80000
Nairobi,South C,3,3,1,160000
Westlands,General Mathenge,3,4,1,250000
Nairobi,Muthaiga,3,2,1,170000
Nairobi,Kileleshwa,3,3,1,320000
Nairobi,Kilimani,3,4,1,150000
Kilifi County,Mtwapa,2,2,1,28000
Nairobi,Kileleshwa,3,2,1,85000
Nairobi,Kileleshwa,3,3,1,180000
Westlands,Brookside,2,2,1,100000
Nairobi,Lavington,3,3,1,95000
Westlands,Westlands Area,2,2,1,280000
Westlands,Mountain View,2,2,1,55000
Westlands,General Mathenge,3,3,0,140000
Westlands,Westlands Area,3,4,1,650000
Westlands,Rhapta Road,3,3,1,130000
Nyali,Nyali Area,3,4,1,115000
Nairobi,Lavington,1,1,1,160000
Nairobi,Ngong Road,3,2,1,65000
Nairobi,Kilimani,2,0,1,190000
Nairobi,Upper Hill,1,1,1,150000
Nairobi,Kileleshwa,2,2,1,65000
Westlands,Kitisuru,2,2,1,230000
Nairobi,Lavington,5,5,1,130000
Westlands,Westlands Area,4,2,0,95000
Ruiru,Tatu City,3,3,1,180000
Westlands,Rosslyn,2,2,1,240000
Westlands,Brookside,3,3,1,90000
Westlands,Westlands Area,4,4,1,440000
Westlands,Westlands Area,2,3,1,110000
Westlands,Westlands Area,4,4,1,450000
Nairobi,Kileleshwa,2,2,1,78000
Westlands,Rhapta Road,2,2,1,90000
Nairobi,Kilimani,3,3,1,100000
Westlands,Westlands Area,3,3,1,300000
Nairobi,Kilimani,1,1,1,100000
Westlands,Westlands Area,2,2,1,210000
Westlands,Parklands,4,4,1,280000
Westlands,Westlands Area,3,3,1,130000
Westlands,Westlands Area,1,1,1,95000
Nairobi,Kilimani,2,2,1,150000
Limuru,Tigoni,2,2,1,35000
Nairobi,Upper Hill,2,2,0,220000
Westlands,Riverside,3,0,1,250000
Nairobi,Kileleshwa,2,2,1,165000
Westlands,Westlands Area,2,2,1,230000
Nairobi,Kilimani,2,2,1,75000
Nairobi,Kilimani,3,4,1,110000
Nairobi,Kilimani,4,4,1,90000
Nairobi,Kileleshwa,2,2,1,110000
Nairobi,Kileleshwa,3,3,1,180000
Nairobi,Lavington,3,3,1,170000
Westlands,Riverside,3,2,0,250000
Westlands,Spring Valley,3,3,1,320000
Westlands,Brookside,3,2,1,185000
Westlands,Rhapta Road,1,1,1,60000
Nyali,Mkomani,3,4,0,105000
Westlands,Brookside,2,2,1,200000
Roysambu,Garden Estate,2,2,1,130000
Westlands,Rhapta Road,1,1,1,160000
Nyali,Nyali Area,1,2,1,100000
Kiambu County,Ruaka,2,2,1,50000
Westlands,Parklands,2,2,1,200000
Nairobi,Kileleshwa,4,4,1,160000
Nairobi,Lavington,4,4,1,140000
Nairobi,Lavington,1,1,1,150000
Nairobi,Lavington,3,4,1,120000
Westlands,Brookside,2,3,1,300000
Westlands,General Mathenge,4,4,1,250000
Nairobi,Kileleshwa,1,1,0,130000
Westlands,Parklands,3,4,1,175000
Westlands,General Mathenge,3,3,1,160000
Nairobi,Upper Hill,2,2,1,200000
Westlands,Westlands Area,4,5,1,350000
Nairobi,Kileleshwa,1,1,1,120000
Nyali,Nyali Area,3,2,1,50000
Westlands,Waiyaki Way,1,1,0,23000
Nairobi,Lavington,3,3,1,160000
Nairobi,Lavington,2,3,1,220000
Westlands,Rhapta Road,2,2,1,200000
Westlands,Westlands Area,1,1,1,120000
Mombasa,Bamburi,3,3,1,15000
Nairobi,Kileleshwa,2,3,0,260000
Nairobi,Kileleshwa,3,3,1,120000
Nairobi,Kilimani,1,1,1,140000
Westlands,General Mathenge,3,3,1,180000
Nairobi,Kileleshwa,3,3,1,340000
Westlands,Riverside,3,4,1,230000
Nairobi,Kileleshwa,2,3,1,220000
Westlands,Waiyaki Way,3,2,0,60000
Nairobi,Kileleshwa,2,2,1,75000
Westlands,Kitisuru,2,3,1,230000
Nairobi,Kileleshwa,2,3,1,80000
Westlands,Westlands Area,4,4,1,180000
Westlands,Gigiri,3,2,1,375000
Nairobi,Kilimani,3,2,1,70000
Westlands,Rhapta Road,4,3,1,120000
Westlands,Spring Valley,2,2,1,230000
Westlands,Rhapta Road,3,2,1,70000
Nairobi,Kileleshwa,3,4,1,250000
Nairobi,Kilimani,3,3,1,120000
Westlands,Kitisuru,2,0,1,180000
Nairobi,Kilimani,2,2,1,180000
Nairobi,Kilimani,2,2,1,100000
Nairobi,Kileleshwa,3,4,1,130000
Nairobi,Lavington,2,2,1,75000
Westlands,Westlands Area,3,3,1,250000
Nairobi,Kilimani,2,2,1,65000
Westlands,Parklands,3,3,1,120000
Westlands,Gigiri,2,3,1,247000
Mombasa Island,Tudor,3,4,1,100000
Nairobi,Utawala,2,1,1,25000
Nairobi,Kileleshwa,1,2,1,6500
Westlands,General Mathenge,3,0,0,170000
Nairobi,Kileleshwa,3,0,0,60000
Nairobi,Lavington,2,3,1,200000
Westlands,Rhapta Road,2,3,1,145000
Westlands,Westlands Area,4,4,1,170000
Nairobi,Kilimani,2,0,1,120000
Westlands,Westlands Area,2,2,1,220000
Nairobi,Kilimani,2,2,1,100000
Nairobi,Ngara,2,1,0,38000
Westlands,Kitisuru,2,2,1,240000
Nairobi,Kilimani,2,2,1,230000
Westlands,Parklands,2,2,1,250000
Westlands,Riverside,2,0,1,140000
Westlands,Riverside,1,2,0,90000
Westlands,Parklands,2,2,0,160000
Westlands,Westlands Area,2,2,1,170000
Westlands,Riverside,3,3,1,140000
Nairobi,Kileleshwa,3,4,1,180000
Mombasa Island,Tudor,3,4,1,70000
Nairobi,Lavington,3,3,1,100000
Westlands,Westlands Area,3,4,1,200000
Nairobi,Muthaiga,3,2,1,300000
Westlands,Parklands,3,4,1,164000
Nyali,Nyali Area,2,2,1,6000
Westlands,Kitisuru,2,3,1,250000
Machakos County,Athi River,2,2,0,28000
Nairobi,Kilimani,3,4,1,170000
Westlands,Rhapta Road,1,0,1,120000
Nairobi,Kilimani,2,2,1,324000
Nairobi,Lavington,3,4,1,140000
Westlands,Spring Valley,1,1,1,200000
Nairobi,Kileleshwa,2,3,1,100000
Nairobi,Kileleshwa,2,2,1,55000
Westlands,Brookside,2,2,1,100000
Westlands,Riverside,3,3,1,130000
Nyali,Nyali Area,3,2,1,50000
Nairobi,Kilimani,2,2,1,85000
Westlands,Westlands Area,2,2,1,180000
Nairobi,Kileleshwa,3,3,1,95000
Nairobi,Kilimani,4,4,1,330000
Nairobi,Lavington,2,2,1,190000
Nairobi,Thika Road,2,2,1,89000
Westlands,Riverside,5,6,1,370000
Nairobi,Kileleshwa,1,1,1,110000
Nairobi,Kileleshwa,3,3,0,150000
Nyali,Nyali Area,3,4,1,120000
Westlands,Westlands Area,2,2,1,65000
Nairobi,Kilimani,2,2,1,160000
Nyali,Nyali Area,3,4,1,180000
Westlands,Brookside,3,4,1,350000
Nairobi,Upper Hill,3,0,1,75000
Nairobi,Kileleshwa,2,2,1,75000
Kiambu County,Ruaka,2,2,1,25000
Nairobi,Naivasha Road,1,1,1,40000
Nairobi,Kilimani,2,2,1,150000
Kikuyu,Kikuyu Town,2,1,0,27500
Nairobi,Kilimani,3,3,1,245000
Nairobi,Kilimani,3,3,0,100000
Westlands,Spring Valley,3,3,1,350000
Nairobi,Kileleshwa,3,3,1,170000
Nairobi,Naivasha Road,2,2,1,40000
Westlands,Parklands,2,2,1,120000
Mombasa Island,Mombasa CBD,3,2,1,100000
Nairobi,Kileleshwa,2,3,1,200000
Westlands,Riverside,4,4,1,280000
Nairobi,Kilimani,3,2,1,85000
Nairobi,Kilimani,2,2,1,150000
Nyali,Nyali Area,3,4,1,170000
Nairobi,Kilimani,1,1,1,140000
Mombasa Island,Mombasa CBD,3,3,1,200000
Westlands,Mountain View,3,2,1,60000
Kiambu County,Ruaka,2,2,1,42000
Nairobi,Kileleshwa,3,3,1,160000
Nairobi,Kilimani,2,2,1,120000
Westlands,Riverside,3,3,1,95000
Westlands,Brookside,3,3,0,250000
Westlands,Spring Valley,3,3,0,225000
Westlands,Riverside,3,4,1,120000
Nairobi,Kileleshwa,4,4,1,80000
Nairobi,Upper Hill,2,2,1,75000
