City,Location,Area,Bedrooms,Bathrooms,Generator,Furnished,Internet,Gym,Balcony,Parking,Ensuite,Lift,Price
Westlands,Spring Valley,,4,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"3,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Riverside,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Nairobi,Upper Hill,,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"100,000"
Westlands,Brookside,,4,3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"120,000"
Westlands,Riverside,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"210,000"
Westlands,Riverside,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"180,000"
Westlands,Riverside,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Nairobi,Kilimani,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Riverside,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"160,000"
Westlands,Riverside,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"325,000"
Westlands,Westlands Area,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"137,000"
Nairobi,Lavington,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"140,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"330,000"
Westlands,Riverside,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"140,000"
Westlands,Parklands,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Brookside,Land Area 185 m²,3,4,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"225,000"
Westlands,Riverside,,3,4,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"120,000"
Westlands,Parklands,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Westlands,Parklands,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Spring Valley,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Spring Valley,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"400,000"
Westlands,Spring Valley,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"190,000"
Westlands,Parklands,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"250,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Mountain View,,2,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"55,000"
Westlands,Rosslyn,,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Mountain View,,3,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"60,000"
Westlands,Gigiri,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,Loresho,,3,2,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"60,000"
Westlands,Westlands Area,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"350,000"
Nairobi,Kilimani,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"170,000"
Westlands,Riverside,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"300,000"
Westlands,General Mathenge,,3,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,"120,000"
Nyali,Nyali Area,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"120,000"
Nairobi,Kilimani,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"140,000"
Westlands,General Mathenge,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"450,000"
Westlands,Rosslyn,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"220,000"
Westlands,Spring Valley,,4,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"450,000"
Nairobi,State House,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"350,000"
Nairobi,Lavington,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"280,000"
Nairobi,Kileleshwa,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Westlands Area,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"170,000"
Westlands,Spring Valley,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"95,000"
Westlands,Riverside,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,Riverside,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"350,000"
Westlands,Runda,,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"170,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"130,000"
Westlands,Spring Valley,,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"400,000"
Nairobi,Kileleshwa,,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"270,000"
Westlands,Riverside,,3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"350,000"
Nairobi,Lavington,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"220,000"
Nairobi,Lavington,,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"200,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"330,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"330,000"
Westlands,General Mathenge,,3,4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
Westlands,General Mathenge,,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"150,000"
