Location,City,Bedrooms,Bathrooms,Parking,Price
,,2,2,2,KSh 85 000
,,2,2,1,KSh 80 000
Kilimani, Nairobi,3,3,"Floor Size:

                            2,120
                        
                        m²",KSh 85 000
 Lavington, Nairobi,4,4,3,KSh 200 000
 Muthaiga, Nairobi,5,5,2,KSh 5 500
Karen, Nairobi,4,5,4,KSh 350 000
Parklands, Nairobi,3,3,2,KSh 70 000
,,1,2,"Floor Size:

                            98
                        
                        m²",KSh 125 000
Kileleshwa, Nairobi,3,3,,KSh 130 000
Lavington, Nairobi,5,5,,KSh 600 000
Gigiri, Nairobi,4,3,2,KSh 230 000
Karen, Nairobi,4,5,4,KSh 350 000
 Nyari, Nairobi,4,4,,KSh 500 000
 Spring Valley, Nairobi,3,2,2,KSh 90 000
Ngong Rd, Nairobi,2,1,,KSh 35 000
 Lavington, Nairobi,2,2,"Floor Size:

                            160
                        
                        m²",KSh 900 000
 Kileleshwa, Nairobi,5,5,2,KSh 220 000
Ridgeways, Nairobi,4,5,,KSh 420 000
 Kitisuru, Nairobi,4,4,2,KSh 450 000
 Parklands, Nairobi,3,2,,KSh 85 000
 Westlands, Nairobi,4,4,,KSh 300 000
 Westlands, Nairobi,4,4,,KSh 300 000
 Lavington, Nairobi,5,4,2,KSh 200 000
,,"Floor Size:

                            978
                        
                        m²",978,"Erf Size:

                            978
                        
                        m²",KSh 380 000
Runda, Nairobi,1,1,1,KSh 70 000
 Kileleshwa, Nairobi,2,2,"Floor Size:

                            162
                        
                        m²",KSh 78 000
 Kileleshwa, Nairobi,2,2,,KSh 180 000
 Lavington, Nairobi,4,4,6,KSh 350 000
Langata, Nairobi,4,3,,KSh 65 000
 Lavington, Nairobi,4,2,,KSh 270 000
,,2,2,,KSh 80 000
 Lavington, Nairobi,3,3,2,KSh 100 000
 Kilimani, Nairobi,3,2,2,KSh 65 000
Ruaka, Nairobi,1,1,,KSh 30 000
Langata, Nairobi,2,2,3,KSh 32 000
 Kileleshwa, Nairobi,6,2,,KSh 600 000
 Kileleshwa, Nairobi,3,3,2,KSh 80 000
 Kileleshwa, Nairobi,2,2,"Floor Size:

                            162
                        
                        m²",KSh 78 000
 Riverside, Nairobi,5,5,2,KSh 280 000
 Westlands, Nairobi,2,3,"Floor Size:

                            143
                        
                        m²",KSh 120 000
 Westlands, Nairobi,3,3,,KSh 120 000
,,3,3,2,KSh 85 000
Kilimani, Nairobi,3,4,2,KSh 160 000
 Runda, Nairobi,4,4,3,KSh 140 000
,,4,4,2,KSh 260 000
,,3,4,"Floor Size:

                            160
                        
                        m²",KSh 165 000
,,3,3,2,KSh 100 000
 Riverside, Nairobi,4,4,,KSh 300 000
 Runda, Nairobi,4,3,3,KSh 380 000
 Spring Valley, Nairobi,4,4,,KSh 250 000
 Lavington, Nairobi,3,3,2,KSh 120 000
 Karen, Nairobi,5,4,,KSh 160 000
 Lavington, Nairobi,3,3,2,KSh 120 000
 Lavington, Nairobi,2,2,2,KSh 65 000
 Karen, Nairobi,2,2,2,KSh 90 000
 Kilimani, Nairobi,2,,,KSh 100 000
 Kilimani, Nairobi,2,,,KSh 100 000
,,4,4,"Erf Size:

                            0.5
                        
                        acres",KSh 250 000
 Lavington, Nairobi,5,4,"Floor Size:

                            212
                        
                        m²",KSh 100 000
Kileleshwa, Nairobi,3,3,,KSh 135 000
,,3,2,2,KSh 80 000
 Karen, Nairobi,4,5,2,KSh 230 000
,,5,6,"Floor Size:

                            400
                        
                        m²",KSh 300 000
,,4,5,"Floor Size:

                            450
                        
                        m²",KSh 230 000
,,4,4,2,KSh 370 000
Nyari, Nairobi,5,6,1,KSh 350 000
 Lavington, Nairobi,3,3,"Floor Size:

                            2,150
                        
                        m²",KSh 90 000
,,3,3,2,KSh 100 000
 Riverside, Nairobi,2,2,,KSh 90 000
,,4,5,"Erf Size:

                            0.5
                        
                        acres",KSh 300 000
 Lower Kabete, Nairobi,5,5,2,KSh 380 000
,,3,3,2,KSh 130 000
 Westlands, Nairobi,3,2,2,KSh 90 000
,,1,1,,KSh 130 000
 Spring Valley, Nairobi,5,5,3,KSh 290 000
