Location,City,Bedrooms,Bathrooms,Parking,Price
Westlands, Nairobi,3,3,,KSh 150 000
Karen, Nairobi,1,1,2,KSh 35 000
Westlands, Nairobi,3,3,,KSh 130 000
Muthangari, Nairobi,3,3,,KSh 200 000
Muthaiga, Nairobi,2,2,,KSh 160 000
Lavington, Nairobi,3,3,2,KSh 75 000
 Runda, Nairobi,5,6,4,KSh 270 000
 Spring Valley, Nairobi,2,3,2,KSh 250 000
,,3,3,,KSh 165 000
 Lavington, Nairobi,3,3,2,KSh 230 000
Lavington, Nairobi,2,3,2,KSh 75 000
Westlands, Nairobi,1,1,,KSh 120 000
 Lavington, Nairobi,5,5,,KSh 500 000
Karen, Nairobi,1,1,2,KSh 35 000
Kitisuru, Nairobi,4,4,,KSh 260 000
,,2,2,,KSh 75 000
 Lavington, Nairobi,4,3,4,KSh 320 000
Karen, Nairobi,4,5,,KSh 250 000
Lavington, Nairobi,4,4,,KSh 110 000
,,2,2,"Floor Size:

                            110
                        
                        m²",KSh 160 000
 Kitisuru, Nairobi,5,6,2,KSh 380 000
 Kitisuru, Nairobi,5,6,2,KSh 380 000
,,1,1,"Floor Size:

                            95
                        
                        m²",KSh 150 000
 Riverside, Nairobi,3,3,,KSh 130 000
,,3,3,"Floor Size:

                            250
                        
                        m²",KSh 150 000
,,5,5,2,KSh 220 000
,,1,1,"Floor Size:

                            75
                        
                        m²",KSh 75 000
 Lavington, Nairobi,5,6,4,KSh 350 000
 Parklands, Nairobi,,,,KSh 90 000
 Lavington, Nairobi,5,5,1,KSh 185 000
Rosslyn, Nairobi,4,4,,KSh 250 000
 Runda, Nairobi,5,5,5,KSh 275 000
 Runda, Nairobi,5,5,5,KSh 290 000
 Runda, Nairobi,5,5,5,KSh 270 000
 Lavington, Nairobi,5,5,,KSh 400 000
 Lavington, Nairobi,5,,,KSh 650 000
Westlands, Nairobi,3,3,2,KSh 140 000
Westlands, Nairobi,4,4,2,KSh 120 000
 Kilimani, Nairobi,1,1,,KSh 95 000
 Riverside, Nairobi,3,3,,KSh 130 000
 Westlands, Nairobi,3,5,"Floor Size:

                            4,500
                        
                        m²",KSh 150 000
Riverside, Nairobi,2,2,,KSh 65 000
Riverside, Nairobi,2,2,,KSh 65 000
 Kileleshwa, Nairobi,5,4,4,KSh 180 000
Lavington, Nairobi,5,6,3,KSh 280 000
 Kileleshwa, Nairobi,5,4,4,KSh 180 000
Runda, Nairobi,5,5,,KSh 350 000
 Runda, Nairobi,5,5,8,KSh 250 000
 Kitisuru, Nairobi,5,4,4,KSh 200 000
Runda, Nairobi,4,4,,KSh 425 000
 Kiambu Road, Nairobi,4,4,,KSh 160 000
 Lavington, Nairobi,5,5,,KSh 300 000
 Runda, Nairobi,5,5,5,KSh 250 000
,,2,2,,KSh 150 000
 Runda, Nairobi,4,4,3,KSh 98 000 000
,,2,1,,KSh 40 000
,,3,2,,KSh 75 000
Westlands, Nairobi,,,,POA
Ngong Rd, Nairobi,2,1,,KSh 35 000
Westlands, Nairobi,3,4,2,KSh 150 000
South B, Nairobi,3,2,,KSh 60 000
 Lavington, Nairobi,5,6,2,KSh 200 000
 Runda, Nairobi,5,5,,KSh 480 000
 Kitisuru, Nairobi,4,4,5,KSh 200 000
Ngong Rd, Nairobi,2,1,,KSh 35 000
Gigiri, Nairobi,5,6,3,KSh 380 000
Runda, Nairobi,4,4,2,KSh 250 000
 Westlands, Nairobi,2,2,,KSh 160 000
 Lavington, Nairobi,3,2,2,KSh 65 000
 Kilimani, Nairobi,1,1,,KSh 120 000
 Kileleshwa, Nairobi,3,3,2,KSh 75 000
 Kilimani, Nairobi,5,5,3,KSh 180 000
 Kilimani, Nairobi,2,2,4,KSh 65 000
Ngong Rd, Nairobi,2,1,,KSh 35 000
 Kileleshwa, Nairobi,4,3,,KSh 245 000
 Spring Valley, Nairobi,5,6,2,KSh 290 000
 Kilimani, Nairobi,3,3,"Floor Size:

                            2,300
                        
                        m²",KSh 100 000
 Lavington, Nairobi,3,3,,KSh 85 000
 Kileleshwa, Nairobi,2,3,2,KSh 75 000
,,5,5,,KSh 260 000
 Kileleshwa, Nairobi,3,2,2,KSh 55 000
Riverside, Nairobi,3,2,2,KSh 150 000
,,3,2,,KSh 75 000
Kilimani, Nairobi,3,3,,KSh 15 000
Westlands, Nairobi,4,4,,KSh 175 000
Kileleshwa, Nairobi,2,3,"Erf Size:

                            150
                        
                        m²",KSh 80 000
Runda, Nairobi,4,4,2,KSh 190 000
 Kilimani, Nairobi,3,3,2,KSh 150 000
 Kilimani, Nairobi,2,2,2,KSh 90 000
,,5,3,,KSh 250 000
Kileleshwa, Nairobi,4,4,2,KSh 240 000
Kilimani, Nairobi,2,2,2,KSh 65 000
,,4,4,,KSh 250 000
 Lavington, Nairobi,5,7,2,KSh 260 000
 Loresho, Nairobi,4,3,1,KSh 170 000
 Ruaka, Nairobi,3,3,,KSh 70 000
Langata, Nairobi,2,1,,KSh 36 000
,,3,,,KSh 250 000
 Kileleshwa, Nairobi,3,3,2,KSh 68 000
 Rosslyn, Nairobi,5,4,2,KSh 350 000
Kilimani, Nairobi,2,2,2,KSh 65 000
 Muthaiga, Nairobi,4,5,2,KSh 3 500
 Karen, Nairobi,,,,KSh 450 000
