,Bedrooms,Bathrooms,Price,City,Location
0,3,3,200000, Nairobi, Riverside
1,3,4,70000, Nairobi,Kileleshwa
2,3,2,38000, Mombasa, Nyali
3,3,3,80000, Nairobi, Lavington
4,1,1,110000, Nairobi,Kileleshwa
5,4,2,57750, Nairobi, Kahawa Wendani
6,2,3,65000, Nairobi,Kilimani
7,3,3,78000,,
8,1,1,150000, Mombasa,Nyali
9,4,5,300000, Nairobi,Muthaiga
10,1,1,150000, Mombasa,Nyali
11,4,2,165000, Nairobi,Westlands
12,3,3,55000, Kikuyu, Kikuyu
13,1,1,55000, Mombasa,Shanzu
14,2,2,75000, Nairobi, Westlands
15,2,2,75000,,
16,2,2,55000, Nairobi, Kileleshwa
17,3,3,75000, Nairobi,Kilimani
18,3,2,45000,,
19,2,3,65000, Nairobi, Spring Valley
20,2,2,100000, Nairobi,Westlands
21,3,3,200000, Nairobi, Riverside
22,3,4,70000, Nairobi,Kileleshwa
23,3,2,38000, Mombasa, Nyali
24,3,3,80000, Nairobi, Lavington
25,1,1,110000, Nairobi,Kileleshwa
26,1,1,110000, Nairobi,Kileleshwa
27,4,2,57750, Nairobi, Kahawa Wendani
28,2,3,65000, Nairobi,Kilimani
29,3,3,78000,,
30,4,5,300000, Nairobi,Muthaiga
31,1,1,150000, Mombasa,Nyali
32,4,2,165000, Nairobi,Westlands
33,3,3,55000, Kikuyu, Kikuyu
34,1,1,55000, Mombasa,Shanzu
35,2,2,75000, Nairobi, Westlands
36,2,2,75000,,
37,2,2,55000, Nairobi, Kileleshwa
38,3,3,75000, Nairobi,Kilimani
39,3,2,45000,,
40,2,3,65000, Nairobi, Spring Valley
41,2,2,100000, Nairobi,Westlands
42,3,3,200000, Nairobi, Riverside
43,3,4,70000, Nairobi,Kileleshwa
44,3,2,38000, Mombasa, Nyali
45,3,3,80000, Nairobi, Lavington
46,1,1,110000, Nairobi,Kileleshwa
47,4,2,57750, Nairobi, Kahawa Wendani
48,2,3,65000, Nairobi,Kilimani
49,3,3,78000,,
50,4,5,300000, Nairobi,Muthaiga
51,1,1,150000, Mombasa,Nyali
52,4,2,165000, Nairobi,Westlands
53,4,2,165000, Nairobi,Westlands
54,3,3,55000, Kikuyu, Kikuyu
55,1,1,55000, Mombasa,Shanzu
56,2,2,75000, Nairobi, Westlands
57,2,2,75000,,
58,2,2,55000, Nairobi, Kileleshwa
59,3,3,75000, Nairobi,Kilimani
60,3,2,45000,,
61,2,3,65000, Nairobi, Spring Valley
62,2,2,100000, Nairobi,Westlands
63,3,3,200000, Nairobi, Riverside
64,3,4,70000, Nairobi,Kileleshwa
65,3,2,38000, Mombasa, Nyali
66,3,3,80000, Nairobi, Lavington
67,1,1,110000, Nairobi,Kileleshwa
68,4,2,57750, Nairobi, Kahawa Wendani
69,2,3,65000, Nairobi,Kilimani
70,3,3,78000,,
71,4,5,300000, Nairobi,Muthaiga
72,1,1,150000, Mombasa,Nyali
73,4,2,165000, Nairobi,Westlands
74,3,3,55000, Kikuyu, Kikuyu
75,1,1,55000, Mombasa,Shanzu
76,2,2,75000, Nairobi, Westlands
77,2,2,75000,,
78,4,2,165000, Nairobi,Westlands
79,2,2,55000, Nairobi, Kileleshwa
80,3,3,75000, Nairobi,Kilimani
81,3,2,45000,,
82,2,3,65000, Nairobi, Spring Valley
83,2,2,100000, Nairobi,Westlands
84,3,3,200000, Nairobi, Riverside
85,3,4,70000, Nairobi,Kileleshwa
86,3,2,38000, Mombasa, Nyali
87,3,3,80000, Nairobi, Lavington
88,1,1,110000, Nairobi,Kileleshwa
89,4,2,57750, Nairobi, Kahawa Wendani
90,2,3,65000, Nairobi,Kilimani
91,1,1,55000, Mombasa,Shanzu
92,3,3,78000,,
93,4,5,300000, Nairobi,Muthaiga
94,1,1,150000, Mombasa,Nyali
95,4,2,165000, Nairobi,Westlands
96,3,3,55000, Kikuyu, Kikuyu
97,1,1,55000, Mombasa,Shanzu
98,2,2,75000, Nairobi, Westlands
99,2,2,75000,,
100,2,2,55000, Nairobi, Kileleshwa
101,3,3,75000, Nairobi,Kilimani
102,3,2,45000,,
103,2,3,65000, Nairobi, Spring Valley
104,2,2,100000, Nairobi,Westlands
105,3,3,200000, Nairobi, Riverside
106,3,4,70000, Nairobi,Kileleshwa
107,3,2,38000, Mombasa, Nyali
108,3,3,80000, Nairobi, Lavington
109,1,1,110000, Nairobi,Kileleshwa
110,4,2,57750, Nairobi, Kahawa Wendani
111,2,3,65000, Nairobi,Kilimani
112,3,3,78000,,
113,4,5,300000, Nairobi,Muthaiga
114,1,1,150000, Mombasa,Nyali
115,4,2,165000, Nairobi,Westlands
116,3,3,55000, Kikuyu, Kikuyu
117,1,1,55000, Mombasa,Shanzu
118,3,4,70000, Nairobi,Kileleshwa
119,2,2,75000, Nairobi, Westlands
120,2,2,75000,,
121,2,2,55000, Nairobi, Kileleshwa
122,3,3,75000, Nairobi,Kilimani
123,3,2,45000,,
124,2,3,65000, Nairobi, Spring Valley
125,2,2,100000, Nairobi,Westlands
126,3,3,200000, Nairobi, Riverside
127,3,4,70000, Nairobi,Kileleshwa
128,3,2,38000, Mombasa, Nyali
129,4,2,57750, Nairobi, Kahawa Wendani
130,3,3,80000, Nairobi, Lavington
131,1,1,110000, Nairobi,Kileleshwa
132,4,2,57750, Nairobi, Kahawa Wendani
133,2,3,65000, Nairobi,Kilimani
134,3,3,78000,,
135,4,5,300000, Nairobi,Muthaiga
136,1,1,150000, Mombasa,Nyali
137,4,2,165000, Nairobi,Westlands
138,3,3,55000, Kikuyu, Kikuyu
139,1,1,55000, Mombasa,Shanzu
140,2,2,75000, Nairobi, Westlands
141,2,2,75000,,
142,2,2,55000, Nairobi, Kileleshwa
143,3,3,75000, Nairobi,Kilimani
144,3,2,45000,,
145,2,3,65000, Nairobi, Spring Valley
146,2,2,100000, Nairobi,Westlands
147,3,3,200000, Nairobi, Riverside
148,3,4,70000, Nairobi,Kileleshwa
149,3,2,38000, Mombasa, Nyali
150,3,3,80000, Nairobi, Lavington
151,1,1,110000, Nairobi,Kileleshwa
152,4,2,57750, Nairobi, Kahawa Wendani
153,2,3,65000, Nairobi,Kilimani
