,title,location,bedrooms,bathrooms,price,rate
0,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
1,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
2,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
3,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
4,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
5,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
6,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
7,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
8,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
9,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
10,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
11,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
12,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
13,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
14,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
15,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
16,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
17,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
18,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
19,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
20,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
21,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
22,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
23,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
24,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
25,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
26,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
27,4 Bedroom Apartment / Flat to rent in Kahawa Wendani,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2, 57 750,Per Month
28,2 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",2,3, 65 000,Per Month
29,3 Bedroom Apartment / Flat to rent in Westlands,,3,3, 78 000,Per Month
30,4 Bedroom Apartment / Flat to rent in Muthaiga,"Muthaiga, Nairobi",4,5, 300 000,Per Month
31,1 Bedroom Apartment / Flat to rent in Nyali,"Nyali, Mombasa",1,1, 5 000,Per Day
32,4 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",4,2, 165 000,Per Month
33,3 Bedroom Apartment / Flat to rent in Kikuyu,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3, 55 000,Per Month
34,1 Bedroom Apartment / Flat to rent in Shanzu,"Shanzu, Mombasa",1,1, 55 000,Per Month
35,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands downtown, Westlands, Nairobi",2,2, 75 000,Per Month
36,2 Bedroom Apartment / Flat to rent in Hurlingham,,2,2, 75 000,Per Month
37,2 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2, 55 000,Per Month
38,3 Bedroom Apartment / Flat to rent in Kilimani,"Kilimani, Nairobi",3,3, 75 000,Per Month
39,3 Bedroom Apartment / Flat to rent in Nyali,,3,2, 45 000,Per Month
40,2 Bedroom Apartment / Flat to rent in Spring Valley,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3, 65 000,Per Month
41,2 Bedroom Apartment / Flat to rent in Westlands,"Westlands, Nairobi",2,2, 100 000,Per Month
42,3 Bedroom Apartment / Flat to rent in Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",3,3, 200 000,Per Month
43,3 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",3,4, 70 000,Per Month
44,3 Bedroom Apartment / Flat to rent in Nyali,"Links Rd Mombasa, Nyali, Mombasa",3,2, 38 000,Per Month
45,3 Bedroom Apartment / Flat to rent in Lavington,"Near Valley Arcade, Lavington, Nairobi",3,3, 80 000,Per Month
46,1 Bedroom Apartment / Flat to rent in Kileleshwa,"Kileleshwa, Nairobi",1,1, 110 000,Per Month
