,City,Location,Bedrooms,Bathrooms,Parking,Price
0,Westlands,Spring Valley,4.0,,1.0,3000
1,Westlands,Westlands Area,2.0,2.0,1.0,150000
2,Westlands,Riverside,3.0,3.0,1.0,200000
3,Nairobi,Upper Hill,1.0,1.0,1.0,100000
4,Westlands,Brookside,4.0,3.0,1.0,120000
5,Westlands,Riverside,2.0,2.0,1.0,210000
6,Westlands,Riverside,2.0,2.0,1.0,180000
7,Westlands,Riverside,3.0,3.0,1.0,300000
8,Nairobi,Kilimani,3.0,3.0,1.0,200000
9,Westlands,Riverside,4.0,4.0,1.0,160000
10,Westlands,Riverside,3.0,3.0,1.0,325000
11,Westlands,Westlands Area,3.0,3.0,1.0,137000
12,Nairobi,Lavington,3.0,3.0,1.0,140000
13,Westlands,General Mathenge,3.0,3.0,1.0,330000
14,Westlands,Riverside,2.0,2.0,1.0,140000
15,Westlands,Parklands,3.0,3.0,1.0,250000
16,Westlands,General Mathenge,3.0,3.0,1.0,150000
17,Westlands,Brookside,3.0,4.0,1.0,225000
18,Westlands,Riverside,3.0,4.0,1.0,120000
19,Westlands,Parklands,3.0,3.0,1.0,300000
20,Westlands,Parklands,2.0,2.0,1.0,200000
21,Westlands,Spring Valley,2.0,2.0,1.0,150000
22,Westlands,Spring Valley,4.0,4.0,1.0,400000
23,Westlands,Spring Valley,3.0,3.0,1.0,190000
24,Westlands,Westlands Area,2.0,2.0,1.0,200000
25,Westlands,Mountain View,2.0,2.0,1.0,55000
26,Westlands,Rosslyn,1.0,1.0,1.0,150000
27,Westlands,Mountain View,3.0,3.0,1.0,60000
28,Westlands,Gigiri,2.0,2.0,1.0,200000
29,Westlands,Loresho,3.0,2.0,1.0,60000
30,Westlands,Westlands Area,2.0,2.0,1.0,350000
31,Nairobi,Kilimani,2.0,2.0,1.0,170000
32,Westlands,Riverside,2.0,2.0,1.0,300000
33,Westlands,General Mathenge,3.0,3.0,1.0,120000
34,Nyali,Nyali Area,3.0,4.0,1.0,120000
35,Nairobi,Kilimani,3.0,3.0,1.0,140000
36,Westlands,General Mathenge,4.0,4.0,1.0,450000
37,Westlands,Rosslyn,2.0,2.0,1.0,220000
38,Westlands,Spring Valley,4.0,4.0,1.0,450000
39,Nairobi,State House,3.0,3.0,1.0,350000
40,Nairobi,Lavington,3.0,3.0,1.0,280000
41,Nairobi,Kileleshwa,3.0,3.0,1.0,150000
42,Westlands,Westlands Area,3.0,3.0,1.0,170000
43,Westlands,Spring Valley,2.0,2.0,1.0,95000
44,Westlands,Riverside,3.0,3.0,1.0,150000
45,Westlands,Riverside,3.0,3.0,1.0,350000
46,Westlands,Runda,2.0,2.0,1.0,170000
47,Westlands,General Mathenge,3.0,3.0,1.0,130000
48,Westlands,Spring Valley,3.0,3.0,1.0,400000
49,Nairobi,Kileleshwa,4.0,4.0,1.0,270000
50,Westlands,Riverside,3.0,4.0,1.0,350000
51,Nairobi,Lavington,2.0,2.0,1.0,220000
52,Nairobi,Lavington,2.0,2.0,1.0,200000
53,Westlands,General Mathenge,3.0,4.0,1.0,150000
54,Westlands,Spring Valley,3.0,3.0,1.0,180000
55,Westlands,Westlands Area,3.0,4.0,1.0,250000
56,Westlands,Westlands Area,3.0,3.0,1.0,150000
57,Nairobi,Kilimani,2.0,2.0,1.0,250000
58,Westlands,Riverside,3.0,3.0,1.0,230000
59,Nairobi,Westlands,,,,
60,Nairobi,Kilimani,,,,
61,Nairobi,Lavington,3.0,3.0,1.0,220000
62,Westlands,Spring Valley,4.0,4.0,1.0,3300
63,Nairobi,Kilimani,2.0,2.0,1.0,95000
64,Westlands,Riverside,3.0,3.0,1.0,180000
65,Westlands,Westlands Area,4.0,4.0,1.0,180000
66,Westlands,Westlands Area,1.0,1.0,1.0,180000
67,Westlands,Westlands Area,2.0,2.0,1.0,180000
68,Westlands,Westlands Area,2.0,2.0,1.0,55000
69,Westlands,Westlands Area,3.0,3.0,1.0,60000
70,Kiambu County,Ruaka,2.0,2.0,1.0,35000
71,Westlands,Waiyaki Way,3.0,3.0,1.0,60000
72,Westlands,Waiyaki Way,2.0,2.0,1.0,55000
73,Westlands,Brookside,3.0,3.0,1.0,2750
74,Nairobi,Kiambu Road,3.0,3.0,1.0,55000
75,Westlands,Westlands Area,2.0,2.0,1.0,250000
76,Nairobi,Lavington,3.0,4.0,1.0,100000
77,Nairobi,Kileleshwa,3.0,4.0,1.0,110000
78,Nairobi,Kilimani,2.0,2.0,1.0,200000
79,Westlands,General Mathenge,3.0,3.0,1.0,145000
80,Nairobi,Kilimani,2.0,2.0,1.0,130000
81,Nairobi,Kilimani,3.0,2.0,1.0,85000
82,Nairobi,Kileleshwa,,,,
83,Westlands,Parklands,3.0,4.0,1.0,280000
84,Westlands,Westlands Area,3.0,4.0,1.0,150000
85,Nairobi,Thika Road,2.0,2.0,0.0,170000
86,Kiambu County,Kiambu Town,2.0,1.0,1.0,33000
87,Nairobi,Thika Road,2.0,2.0,0.0,140000
88,Westlands,Gigiri,3.0,3.0,1.0,250000
89,Kiambu County,Ruaka,2.0,2.0,1.0,50000
90,Nairobi,Kilimani,2.0,2.0,1.0,180000
91,Westlands,Westlands Area,3.0,3.0,1.0,200000
92,Nairobi,Riara Road,3.0,2.0,1.0,75000
93,Nairobi,Muthaiga,2.0,3.0,1.0,250000
94,Westlands,Westlands Area,3.0,3.0,1.0,85000
95,Westlands,Riverside,4.0,4.0,0.0,200000
96,Mombasa Island,Mombasa CBD,4.0,5.0,1.0,150000
97,Westlands,Rosslyn,2.0,2.0,1.0,200000
98,Nairobi,Kilimani,2.0,2.0,1.0,100000
99,Roysambu,Garden Estate,2.0,2.0,1.0,100000
100,Nairobi,Kilimani,2.0,2.0,1.0,180000
101,Westlands,Riverside,3.0,2.0,1.0,90000
102,Nyali,Nyali Area,3.0,4.0,1.0,110000
103,Nairobi,Kilimani,3.0,3.0,1.0,289000
104,Westlands,Westlands Area,2.0,2.0,1.0,140000
105,Kiambu County,Ruaka,2.0,,1.0,40000
106,Nairobi,Kileleshwa,3.0,3.0,0.0,250000
107,Westlands,Westlands Area,3.0,3.0,0.0,130000
108,Nairobi,Kilimani,3.0,3.0,1.0,160000
109,Westlands,Riverside,4.0,5.0,1.0,300000
110,Westlands,Westlands Area,3.0,4.0,1.0,75000
111,Westlands,Westlands Area,0.0,1.0,1.0,90000
112,Nairobi,Kileleshwa,3.0,3.0,1.0,135000
113,Westlands,Parklands,3.0,3.0,1.0,125000
114,Westlands,Parklands,3.0,2.0,1.0,180000
115,Westlands,General Mathenge,4.0,4.0,1.0,250000
116,Nairobi,Kilimani,3.0,4.0,1.0,230000
117,Nairobi,Kileleshwa,3.0,3.0,1.0,80000
118,Westlands,Parklands,3.0,3.0,1.0,280000
119,Nyali,Nyali Area,3.0,4.0,1.0,200000
120,Westlands,Gigiri,3.0,,1.0,180000
121,Mombasa Island,Mombasa CBD,3.0,3.0,1.0,75000
122,Nairobi,Kilimani,3.0,2.0,1.0,75000
123,Nairobi,Utawala,1.0,1.0,1.0,16000
124,Nairobi,Lavington,3.0,3.0,1.0,150000
125,Nairobi,Kileleshwa,3.0,4.0,0.0,130000
126,Machakos County,Athi River,2.0,2.0,1.0,290000
127,Westlands,Parklands,3.0,3.0,1.0,400000
128,Nairobi,Nairobi CBD,1.0,1.0,0.0,110000
129,Nairobi,Kileleshwa,1.0,1.0,1.0,55000
130,Nairobi,Kilimani,3.0,3.0,0.0,160000
131,Westlands,Westlands Area,3.0,3.0,1.0,300000
132,Westlands,Parklands,2.0,2.0,1.0,160000
133,Nairobi,Kileleshwa,3.0,3.0,1.0,250000
134,Nairobi,Kilimani,2.0,2.0,1.0,200000
135,Nairobi,Lavington,2.0,2.0,1.0,70000
136,Westlands,Riverside,3.0,2.0,1.0,135000
137,Mombasa Island,Tudor,2.0,3.0,1.0,12000
138,Nyali,Nyali Area,1.0,1.0,1.0,4500
139,Nairobi,Kilimani,2.0,3.0,1.0,80000
140,Nairobi,South C,3.0,3.0,1.0,160000
141,Westlands,General Mathenge,3.0,4.0,1.0,250000
142,Nairobi,Muthaiga,3.0,2.0,1.0,170000
143,Nairobi,Kileleshwa,3.0,3.0,1.0,320000
144,Nairobi,Kilimani,3.0,4.0,1.0,150000
145,Kilifi County,Mtwapa,2.0,2.0,1.0,28000
146,Nairobi,Kileleshwa,3.0,2.0,1.0,85000
147,Nairobi,Kileleshwa,3.0,3.0,1.0,180000
148,Westlands,Brookside,2.0,2.0,1.0,100000
149,Nairobi,Lavington,3.0,3.0,1.0,95000
150,Westlands,Westlands Area,2.0,2.0,1.0,280000
151,Westlands,Mountain View,2.0,2.0,1.0,55000
152,Westlands,General Mathenge,3.0,3.0,0.0,140000
153,Westlands,Westlands Area,3.0,4.0,1.0,650000
154,Westlands,Rhapta Road,3.0,3.0,1.0,130000
155,Nyali,Nyali Area,3.0,4.0,1.0,115000
156,Nairobi,Lavington,1.0,1.0,1.0,160000
157,Nairobi,Ngong Road,3.0,2.0,1.0,65000
158,Nairobi,Kilimani,2.0,,1.0,190000
159,Nairobi,Upper Hill,1.0,1.0,1.0,150000
160,Nairobi,Kileleshwa,2.0,2.0,1.0,65000
161,Westlands,Kitisuru,2.0,2.0,1.0,230000
162,Nairobi,Lavington,5.0,5.0,1.0,130000
163,Westlands,Westlands Area,4.0,2.0,0.0,95000
164,Ruiru,Tatu City,3.0,3.0,1.0,180000
165,Westlands,Rosslyn,2.0,2.0,1.0,240000
166,Westlands,Brookside,3.0,3.0,1.0,90000
167,Westlands,Westlands Area,4.0,4.0,1.0,440000
168,Westlands,Westlands Area,2.0,3.0,1.0,110000
169,Westlands,Westlands Area,4.0,4.0,1.0,450000
170,Nairobi,Kileleshwa,2.0,2.0,1.0,78000
171,Westlands,Rhapta Road,2.0,2.0,1.0,90000
172,Nairobi,Kilimani,3.0,3.0,1.0,100000
173,Westlands,Westlands Area,3.0,3.0,1.0,300000
174,Nairobi,Kilimani,1.0,1.0,1.0,100000
175,Westlands,Westlands Area,2.0,2.0,1.0,210000
176,Westlands,Parklands,4.0,4.0,1.0,280000
177,Westlands,Westlands Area,3.0,3.0,1.0,130000
178,Westlands,Westlands Area,1.0,1.0,1.0,95000
179,Nairobi,Kilimani,2.0,2.0,1.0,150000
180,Limuru,Tigoni,2.0,2.0,1.0,35000
181,Nairobi,Upper Hill,2.0,2.0,0.0,220000
182,Westlands,Riverside,3.0,,1.0,250000
183,Nairobi,Kileleshwa,2.0,2.0,1.0,165000
184,Westlands,Westlands Area,2.0,2.0,1.0,230000
185,Nairobi,Kilimani,2.0,2.0,1.0,75000
186,Nairobi,Kilimani,3.0,4.0,1.0,110000
187,Nairobi,Kilimani,4.0,4.0,1.0,90000
188,Nairobi,Kileleshwa,2.0,2.0,1.0,110000
189,Nairobi,Kileleshwa,3.0,3.0,1.0,180000
190,Nairobi,Lavington,3.0,3.0,1.0,170000
191,Westlands,Riverside,3.0,2.0,0.0,250000
192,Westlands,Spring Valley,3.0,3.0,1.0,320000
193,Westlands,Brookside,3.0,2.0,1.0,185000
194,Westlands,Rhapta Road,1.0,1.0,1.0,60000
195,Nyali,Mkomani,3.0,4.0,,105000
196,Westlands,Brookside,2.0,2.0,1.0,200000
197,Roysambu,Garden Estate,2.0,2.0,1.0,130000
198,Westlands,Rhapta Road,1.0,1.0,1.0,160000
199,Nyali,Nyali Area,1.0,2.0,1.0,100000
200,Kiambu County,Ruaka,2.0,2.0,1.0,50000
201,Westlands,Parklands,2.0,2.0,1.0,200000
202,Nairobi,Kileleshwa,4.0,4.0,1.0,160000
203,Nairobi,Lavington,4.0,4.0,1.0,140000
204,Nairobi,Lavington,1.0,1.0,1.0,150000
205,Nairobi,Lavington,3.0,4.0,1.0,120000
206,Westlands,Brookside,2.0,3.0,1.0,300000
207,Westlands,General Mathenge,4.0,4.0,1.0,250000
208,Nairobi,Kileleshwa,1.0,1.0,0.0,130000
209,Westlands,Parklands,3.0,4.0,1.0,175000
210,Westlands,General Mathenge,3.0,3.0,1.0,160000
211,Nairobi,Upper Hill,2.0,2.0,1.0,200000
212,Westlands,Westlands Area,4.0,5.0,1.0,350000
213,Nairobi,Kileleshwa,1.0,1.0,1.0,120000
214,Nyali,Nyali Area,3.0,2.0,1.0,50000
215,Westlands,Waiyaki Way,1.0,1.0,0.0,23000
216,Nairobi,Lavington,3.0,3.0,1.0,160000
217,Nairobi,Lavington,2.0,3.0,1.0,220000
218,Westlands,Rhapta Road,2.0,2.0,1.0,200000
219,Westlands,Westlands Area,1.0,1.0,1.0,120000
220,Mombasa,Bamburi,3.0,3.0,1.0,15000
221,Nairobi,Kileleshwa,2.0,3.0,0.0,260000
222,Nairobi,Kileleshwa,3.0,3.0,1.0,120000
223,Nairobi,Kilimani,1.0,1.0,1.0,140000
224,Westlands,General Mathenge,3.0,3.0,1.0,180000
225,Nairobi,Kileleshwa,3.0,3.0,1.0,340000
226,Westlands,Riverside,3.0,4.0,1.0,230000
227,Nairobi,Kileleshwa,2.0,3.0,1.0,220000
228,Westlands,Waiyaki Way,3.0,2.0,0.0,60000
229,Nairobi,Kileleshwa,2.0,2.0,1.0,75000
230,Westlands,Kitisuru,2.0,3.0,1.0,230000
231,Nairobi,Kileleshwa,2.0,3.0,1.0,80000
232,Westlands,Westlands Area,4.0,4.0,1.0,180000
233,Westlands,Gigiri,3.0,2.0,1.0,375000
234,Nairobi,Kilimani,3.0,2.0,1.0,70000
235,Westlands,Rhapta Road,4.0,3.0,1.0,120000
236,Westlands,Spring Valley,2.0,2.0,1.0,230000
237,Westlands,Rhapta Road,3.0,2.0,1.0,70000
238,Nairobi,Kileleshwa,3.0,4.0,1.0,250000
239,Nairobi,Kilimani,3.0,3.0,1.0,120000
240,Westlands,Kitisuru,2.0,,1.0,180000
241,Nairobi,Kilimani,2.0,2.0,1.0,180000
242,Nairobi,Kilimani,2.0,2.0,1.0,100000
243,Nairobi,Kileleshwa,3.0,4.0,1.0,130000
244,Nairobi,Lavington,2.0,2.0,1.0,75000
245,Westlands,Westlands Area,3.0,3.0,1.0,250000
246,Nairobi,Kilimani,2.0,2.0,1.0,65000
247,Westlands,Parklands,3.0,3.0,1.0,120000
248,Westlands,Gigiri,2.0,3.0,1.0,247000
249,Mombasa Island,Tudor,3.0,4.0,1.0,100000
250,Nairobi,Utawala,2.0,1.0,1.0,25000
251,Nairobi,Kileleshwa,1.0,2.0,1.0,6500
252,Westlands,General Mathenge,3.0,,0.0,170000
253,Nairobi,Kileleshwa,3.0,,0.0,60000
254,Nairobi,Lavington,2.0,3.0,1.0,200000
255,Westlands,Rhapta Road,2.0,3.0,1.0,145000
256,Westlands,Westlands Area,4.0,4.0,1.0,170000
257,Nairobi,Kilimani,2.0,,1.0,120000
258,Westlands,Westlands Area,2.0,2.0,1.0,220000
259,Nairobi,Kilimani,2.0,2.0,1.0,100000
260,Nairobi,Ngara,2.0,1.0,0.0,38000
261,Westlands,Kitisuru,2.0,2.0,1.0,240000
262,Nairobi,Kilimani,2.0,2.0,1.0,230000
263,Westlands,Parklands,2.0,2.0,1.0,250000
264,Westlands,Riverside,2.0,,1.0,140000
265,Westlands,Riverside,1.0,2.0,0.0,90000
266,Westlands,Parklands,2.0,2.0,0.0,160000
267,Westlands,Westlands Area,2.0,2.0,1.0,170000
268,Westlands,Riverside,3.0,3.0,1.0,140000
269,Nairobi,Kileleshwa,3.0,4.0,1.0,180000
270,Mombasa Island,Tudor,3.0,4.0,1.0,70000
271,Nairobi,Lavington,3.0,3.0,1.0,100000
272,Westlands,Westlands Area,3.0,4.0,1.0,200000
273,Nairobi,Muthaiga,3.0,2.0,1.0,300000
274,Westlands,Parklands,3.0,4.0,1.0,164000
275,Nyali,Nyali Area,2.0,2.0,1.0,6000
276,Westlands,Kitisuru,2.0,3.0,1.0,250000
277,Machakos County,Athi River,2.0,2.0,0.0,28000
278,Nairobi,Kilimani,3.0,4.0,1.0,170000
279,Westlands,Rhapta Road,1.0,,1.0,120000
280,Nairobi,Kilimani,2.0,2.0,1.0,324000
281,Nairobi,Lavington,3.0,4.0,1.0,140000
282,Westlands,Spring Valley,1.0,1.0,1.0,200000
283,Nairobi,Kileleshwa,2.0,3.0,1.0,100000
284,Nairobi,Kileleshwa,2.0,2.0,1.0,55000
285,Westlands,Brookside,2.0,2.0,1.0,100000
286,Westlands,Riverside,3.0,3.0,1.0,130000
287,Nyali,Nyali Area,3.0,2.0,1.0,50000
288,Nairobi,Kilimani,2.0,2.0,1.0,85000
289,Westlands,Westlands Area,2.0,2.0,1.0,180000
290,Nairobi,Kileleshwa,3.0,3.0,1.0,95000
291,Nairobi,Kilimani,4.0,4.0,1.0,330000
292,Nairobi,Lavington,2.0,2.0,1.0,190000
293,Nairobi,Thika Road,2.0,2.0,1.0,89000
294,Westlands,Riverside,5.0,6.0,1.0,370000
295,Nairobi,Kileleshwa,1.0,1.0,1.0,110000
296,Nairobi,Kileleshwa,3.0,3.0,0.0,150000
297,Nyali,Nyali Area,3.0,4.0,1.0,120000
298,Westlands,Westlands Area,2.0,2.0,1.0,65000
299,Nairobi,Kilimani,2.0,2.0,1.0,160000
300,Nyali,Nyali Area,3.0,4.0,1.0,180000
301,Westlands,Brookside,3.0,4.0,1.0,350000
302,Nairobi,Upper Hill,3.0,,1.0,75000
303,Nairobi,Kileleshwa,2.0,2.0,1.0,75000
304,Kiambu County,Ruaka,2.0,2.0,1.0,25000
305,Nairobi,Naivasha Road,1.0,1.0,1.0,40000
306,Nairobi,Kilimani,2.0,2.0,1.0,150000
307,Kikuyu,Kikuyu Town,2.0,1.0,0.0,27500
308,Nairobi,Kilimani,3.0,3.0,1.0,245000
309,Nairobi,Kilimani,3.0,3.0,0.0,100000
310,Westlands,Spring Valley,3.0,3.0,1.0,350000
311,Nairobi,Kileleshwa,3.0,3.0,1.0,170000
312,Nairobi,Naivasha Road,2.0,2.0,1.0,40000
313,Westlands,Parklands,2.0,2.0,1.0,120000
314,Mombasa Island,Mombasa CBD,3.0,2.0,1.0,100000
315,Nairobi,Kileleshwa,2.0,3.0,1.0,200000
316,Westlands,Riverside,4.0,4.0,1.0,280000
317,Nairobi,Kilimani,3.0,2.0,1.0,85000
318,Nairobi,Kilimani,2.0,2.0,1.0,150000
319,Nyali,Nyali Area,3.0,4.0,1.0,170000
320,Nairobi,Kilimani,1.0,1.0,1.0,140000
321,Mombasa Island,Mombasa CBD,3.0,3.0,1.0,200000
322,Westlands,Mountain View,3.0,2.0,1.0,60000
323,Kiambu County,Ruaka,2.0,2.0,1.0,42000
324,Nairobi,Kileleshwa,3.0,3.0,1.0,160000
325,Nairobi,Kilimani,2.0,2.0,1.0,120000
326,Westlands,Riverside,3.0,3.0,1.0,95000
327,Westlands,Brookside,3.0,3.0,0.0,250000
328,Westlands,Spring Valley,3.0,3.0,0.0,225000
329,Westlands,Riverside,3.0,4.0,1.0,120000
330,Nairobi,Kileleshwa,4.0,4.0,1.0,80000
331,Nairobi,Upper Hill,2.0,2.0,1.0,75000
332,Nairobi,Kileleshwa,4.0,4.0,1.0,140000
333,Westlands,General Mathenge,3.0,3.0,1.0,180000
334,Kiambu County,Ruaka,2.0,2.0,1.0,45000
335,Nairobi,Embakasi,3.0,2.0,1.0,80000
336,Nairobi,Lavington,0.0,1.0,1.0,120000
337,Nairobi,Lavington,3.0,,0.0,250000
338,Nyali,Nyali Area,1.0,1.0,1.0,85000
339,Westlands,General Mathenge,3.0,4.0,1.0,160000
340,Nairobi,Kilimani,3.0,3.0,1.0,130000
341,Nairobi,Kileleshwa,2.0,2.0,1.0,110000
342,Nairobi,Upper Hill,1.0,2.0,1.0,140000
343,Nairobi,Lavington,2.0,2.0,1.0,180000
344,Westlands,Westlands Area,2.0,2.0,1.0,195000
345,Nairobi,Kilimani,3.0,3.0,1.0,95000
346,Nairobi,Lavington,1.0,1.0,1.0,180000
347,Nairobi,Muthaiga,2.0,2.0,1.0,220000
348,Nairobi,Kileleshwa,3.0,2.0,1.0,100000
349,Nairobi,Lavington,3.0,3.0,1.0,120000
350,Nairobi,Kilimani,4.0,3.0,1.0,110000
351,Westlands,Westlands Area,2.0,2.0,1.0,160000
352,Kiambu County,Ruaka,2.0,3.0,1.0,35000
353,Nyali,Nyali Area,2.0,2.0,1.0,15000
354,Westlands,Riverside,3.0,4.0,1.0,250000
355,Nairobi,Lavington,2.0,2.0,0.0,297000
356,Nairobi,Uthiru,2.0,1.0,0.0,16000
357,Westlands,Parklands,3.0,4.0,1.0,250000
358,Nairobi,Lavington,3.0,,1.0,200000
359,Nairobi,Lavington,2.0,2.0,1.0,120000
360,Nyali,Nyali Area,3.0,2.0,1.0,100000
361,Nairobi,Kiambu Road,3.0,2.0,1.0,65000
362,Nyali,Nyali Area,3.0,4.0,1.0,65000
363,Mombasa Island,Mombasa CBD,2.0,3.0,0.0,25000
364,Nairobi,Kilimani,3.0,2.0,1.0,130000
365,Westlands,Westlands Area,1.0,1.0,1.0,100000
366,Nairobi,Kileleshwa,2.0,,,50000
367,Nairobi,Kilimani,3.0,2.0,1.0,90000
368,Westlands,Rhapta Road,2.0,2.0,1.0,250000
369,Nairobi,Kileleshwa,3.0,3.0,1.0,110000
370,Nairobi,Kileleshwa,3.0,2.0,1.0,85000
371,Nairobi,Kileleshwa,2.0,,0.0,150000
372,Westlands,Spring Valley,3.0,4.0,1.0,400000
373,Nairobi,Lavington,2.0,2.0,1.0,175000
374,Nairobi,Kilimani,3.0,3.0,1.0,75000
375,Nairobi,Kilimani,1.0,1.0,1.0,150000
376,Nairobi,Kilimani,4.0,4.0,1.0,639000
377,Nyali,Nyali Area,3.0,3.0,1.0,55000
378,Nairobi,Kileleshwa,2.0,2.0,1.0,75000
379,Westlands,Brookside,3.0,4.0,1.0,210000
380,Nairobi,Lavington,4.0,4.0,0.0,150000
381,Nyali,Nyali Area,1.0,1.0,1.0,5000
382,Westlands,Westlands Area,3.0,3.0,1.0,135000
383,Nairobi,Kilimani,2.0,2.0,1.0,270000
384,Westlands,Riverside,3.0,,0.0,150000
385,Westlands,Spring Valley,4.0,5.0,1.0,400000
386,Westlands,Westlands Area,2.0,2.0,1.0,230000
387,Westlands,Rosslyn,3.0,4.0,1.0,180000
388,Nairobi,Kilimani,3.0,3.0,0.0,140000
389,Westlands,Westlands Area,1.0,1.0,1.0,125000
390,Nyali,Mkomani,4.0,3.0,1.0,95000
391,Nairobi,Lavington,2.0,2.0,1.0,90000
392,Nairobi,Upper Hill,2.0,2.0,1.0,180000
393,Nairobi,Kilimani,3.0,3.0,1.0,95000
394,Kiambu County,Ruaka,1.0,1.0,1.0,33000
395,Westlands,Westlands Area,2.0,3.0,1.0,220000
396,Nyali,Nyali Area,2.0,,1.0,12000
397,Nairobi,Thika Road,2.0,2.0,0.0,95000
398,Westlands,Parklands,3.0,2.0,0.0,119500
399,Westlands,Nyari,2.0,2.0,1.0,250000
400,Westlands,Rhapta Road,2.0,2.0,1.0,125000
401,Westlands,Spring Valley,3.0,4.0,1.0,305000
402,Nairobi,Kilimani,1.0,1.0,1.0,65000
403,Westlands,Runda,4.0,4.0,1.0,400000
404,Westlands,General Mathenge,3.0,4.0,1.0,200000
405,Nairobi,Lavington,3.0,3.0,1.0,150000
406,Westlands,Parklands,4.0,5.0,1.0,250000
407,Nairobi,Thika Road,3.0,3.0,1.0,85000
408,Nairobi,Kilimani,2.0,2.0,1.0,70000
409,Nairobi,Kilimani,2.0,2.0,1.0,290000
410,Kiambu County,Ruaka,0.0,1.0,1.0,10000
411,Nairobi,Kilimani,2.0,2.0,1.0,160000
412,Nairobi,Muthaiga,3.0,3.0,1.0,250000
413,Westlands,Westlands Area,2.0,2.0,1.0,240000
414,Nairobi,Lavington,2.0,,0.0,75000
415,Nairobi,Kileleshwa,3.0,,1.0,85000
416,Nyali,Nyali Area,3.0,3.0,0.0,180000
417,Roysambu,Garden Estate,3.0,2.0,1.0,65000
418,Nyali,Nyali Area,2.0,2.0,1.0,10000
419,Nairobi,Kilimani,2.0,2.0,1.0,120000
420,Nairobi,Lavington,3.0,3.0,1.0,95000
421,Westlands,Westlands Area,3.0,3.0,1.0,90000
422,Nyali,Kongowea,1.0,1.0,,4500
423,Westlands,Westlands Area,3.0,2.0,1.0,130000
424,Nairobi,Kileleshwa,2.0,2.0,1.0,85000
425,Nairobi,Lavington,3.0,4.0,1.0,150000
426,Nairobi,Kilimani,3.0,3.0,1.0,110000
427,Westlands,Westlands Area,4.0,4.0,1.0,190000
428,Nairobi,Riara Road,3.0,2.0,0.0,50000
429,Nairobi,Karen,0.0,,0.0,15000
430,Nairobi,Kileleshwa,2.0,3.0,1.0,120000
431,Westlands,Kitisuru,1.0,1.0,1.0,70000
432,Kiambu County,Ruaka,2.0,2.0,1.0,35000
433,Nairobi,Kilimani,3.0,4.0,1.0,140000
434,Westlands,Brookside,3.0,3.0,1.0,135000
435,Westlands,Riverside,4.0,2.0,0.0,190000
436,Westlands,General Mathenge,3.0,4.0,0.0,175000
437,Nairobi,Kilimani,2.0,2.0,1.0,200000
438,Nairobi,Kileleshwa,3.0,3.0,1.0,130000
439,Nairobi,Kilimani,3.0,3.0,1.0,170000
440,Kiambu County,Kiambu Town,3.0,2.0,1.0,30000
441,Nairobi,Kileleshwa,3.0,2.0,1.0,100000
442,Nairobi,Kileleshwa,1.0,1.0,1.0,200000
443,Nairobi,Lavington,4.0,3.0,1.0,230000
444,Westlands,Westlands Area,0.0,1.0,1.0,100000
445,Nyali,Mkomani,2.0,2.0,1.0,120000
446,Nyali,Nyali Area,4.0,5.0,1.0,165000
447,Westlands,Parklands,2.0,2.0,1.0,130000
448,Westlands,Westlands Area,2.0,2.0,1.0,220000
449,Nairobi,Kilimani,3.0,3.0,1.0,130000
450,Westlands,Westlands Area,4.0,5.0,0.0,250000
451,Nyali,Nyali Area,3.0,3.0,1.0,95000
452,Westlands,Riverside,1.0,1.0,1.0,150000
453,Westlands,Riverside,1.0,,1.0,85000
454,Nairobi,Kilimani,2.0,2.0,1.0,70000
455,Westlands,Spring Valley,3.0,3.0,1.0,331000
456,Nairobi,Kileleshwa,4.0,3.0,0.0,170000
457,Nairobi,Lavington,4.0,5.0,1.0,120000
458,Nairobi,Kilimani,3.0,3.0,1.0,120000
459,Westlands,Riverside,3.0,4.0,1.0,180000
460,Kiambu County,Ruiru,3.0,2.0,1.0,45000
461,Nairobi,Upper Hill,1.0,2.0,1.0,130000
462,Nyali,Nyali Area,1.0,1.0,1.0,65000
463,Westlands,Riverside,3.0,2.0,1.0,85000
464,Westlands,Waiyaki Way,1.0,1.0,1.0,120000
465,Westlands,Westlands Area,2.0,2.0,1.0,215000
466,Ruiru,Kamakis,2.0,2.0,1.0,30000
467,Nairobi,Kilimani,3.0,3.0,1.0,170000
468,Westlands,Riverside,3.0,3.0,1.0,180000
469,Nairobi,Lavington,3.0,4.0,1.0,95000
470,Westlands,Riverside,3.0,3.0,1.0,145000
471,Westlands,General Mathenge,2.0,2.0,1.0,200000
472,Westlands,Nyari,2.0,1.0,0.0,160000
473,Westlands,Brookside,1.0,1.0,1.0,70000
474,Nairobi,Langata,3.0,2.0,1.0,35000
475,Westlands,Gigiri,2.0,3.0,1.0,270000
