City,Location,Bedrooms,Bathrooms,Parking,Price
Westlands,Spring Valley,4,0,1.0,3000.0
Westlands,Westlands Area,2,2,1.0,150000.0
Westlands,Riverside,3,3,1.0,200000.0
Nairobi,Upper Hill,1,1,1.0,100000.0
Westlands,Brookside,4,3,1.0,120000.0
Westlands,Riverside,2,2,1.0,210000.0
Westlands,Riverside,2,2,1.0,180000.0
Westlands,Riverside,3,3,1.0,300000.0
Nairobi,Kilimani,3,3,1.0,200000.0
Westlands,Riverside,4,4,1.0,160000.0
Westlands,Riverside,3,3,1.0,325000.0
Westlands,Westlands Area,3,3,1.0,137000.0
Nairobi,Lavington,3,3,1.0,140000.0
Westlands,General Mathenge,3,3,1.0,330000.0
Westlands,Riverside,2,2,1.0,140000.0
Westlands,Parklands,3,3,1.0,250000.0
Westlands,General Mathenge,3,3,1.0,150000.0
Westlands,Brookside,3,4,1.0,225000.0
Westlands,Riverside,3,4,1.0,120000.0
Westlands,Parklands,3,3,1.0,300000.0
Westlands,Parklands,2,2,1.0,200000.0
Westlands,Spring Valley,2,2,1.0,150000.0
Westlands,Spring Valley,4,4,1.0,400000.0
Westlands,Spring Valley,3,3,1.0,190000.0
Westlands,Westlands Area,2,2,1.0,200000.0
Westlands,Mountain View,2,2,1.0,55000.0
Westlands,Rosslyn,1,1,1.0,150000.0
Westlands,Mountain View,3,3,1.0,60000.0
Westlands,Gigiri,2,2,1.0,200000.0
Westlands,Loresho,3,2,1.0,60000.0
Westlands,Westlands Area,2,2,1.0,350000.0
Nairobi,Kilimani,2,2,1.0,170000.0
Westlands,Riverside,2,2,1.0,300000.0
Westlands,General Mathenge,3,3,1.0,120000.0
Nyali,Nyali Area,3,4,1.0,120000.0
Nairobi,Kilimani,3,3,1.0,140000.0
Westlands,General Mathenge,4,4,1.0,450000.0
Westlands,Rosslyn,2,2,1.0,220000.0
Westlands,Spring Valley,4,4,1.0,450000.0
Nairobi,State House,3,3,1.0,350000.0
Nairobi,Lavington,3,3,1.0,280000.0
Nairobi,Kileleshwa,3,3,1.0,150000.0
Westlands,Westlands Area,3,3,1.0,170000.0
Westlands,Spring Valley,2,2,1.0,95000.0
Westlands,Riverside,3,3,1.0,150000.0
Westlands,Riverside,3,3,1.0,350000.0
Westlands,Runda,2,2,1.0,170000.0
Westlands,General Mathenge,3,3,1.0,130000.0
Westlands,Spring Valley,3,3,1.0,400000.0
Nairobi,Kileleshwa,4,4,1.0,270000.0
Westlands,Riverside,3,4,1.0,350000.0
Nairobi,Lavington,2,2,1.0,220000.0
Nairobi,Lavington,2,2,1.0,200000.0
Westlands,General Mathenge,3,4,1.0,150000.0
Westlands,Spring Valley,3,3,1.0,180000.0
Westlands,Westlands Area,3,4,1.0,250000.0
Westlands,Westlands Area,3,3,1.0,150000.0
Nairobi,Kilimani,2,2,1.0,250000.0
Westlands,Riverside,3,3,1.0,230000.0
Nairobi,Westlands,0,0,0.0,0.0
Nairobi,Kilimani,0,0,0.0,0.0
Nairobi,Lavington,3,3,1.0,220000.0
Westlands,Spring Valley,4,4,1.0,3300.0
Nairobi,Kilimani,2,2,1.0,95000.0
Westlands,Riverside,3,3,1.0,180000.0
Westlands,Westlands Area,4,4,1.0,180000.0
Westlands,Westlands Area,1,1,1.0,180000.0
Westlands,Westlands Area,2,2,1.0,180000.0
Westlands,Westlands Area,2,2,1.0,55000.0
Westlands,Westlands Area,3,3,1.0,60000.0
Kiambu County,Ruaka,2,2,1.0,35000.0
Westlands,Waiyaki Way,3,3,1.0,60000.0
Westlands,Waiyaki Way,2,2,1.0,55000.0
Westlands,Brookside,3,3,1.0,2750.0
Nairobi,Kiambu Road,3,3,1.0,55000.0
Westlands,Westlands Area,2,2,1.0,250000.0
Nairobi,Lavington,3,4,1.0,100000.0
