 City,Location,Bedrooms,Bathrooms,Toilets,Parking,Price
 Machakos, Syokimau/Mulolongo,4,4,4,,100000
 Westlands, Runda,3,3,3,2,180000
 Nairobi, Spring Valley,5,5,5,4,380000
 Nairobi, Thindigua,3,3,3,,55000
 Nairobi, Westlands,4,4,4,4,265000
 Nairobi, Spring Valley,4,4,4,3,270000
 Nairobi, Kitisuru,5,5,5,,5500
 Kiambu, Cianda,4,4,4,2,100000
 Nairobi, Westlands,4,4,4,4,650000
 Nairobi, Kitisuru,5,5,5,3,500000
 Nairobi, Westlands,2,2,3,1,95000
 Nairobi, Kileleshwa,6,6,7,2,3300
,,3,3,3,2,95000
 Nairobi, Kileleshwa,2,,,,150000
,,3,3,3,2,85000
,,3,4,4,2,100000
 Kiambu, Membley Estate,4,3,3,4,120000
,,5,5,6,2,200000
,,3,3,4,2,110000
 Nairobi, Westlands,3,2,,,250000
,,5,5,5,4,350000
,,5,6,7,,500000
 Nairobi, Kilimani,4,3,3,,120000
,,1,1,,,45000
,,2,1,1,,55000
,,3,3,3,2,75000
 Kiambu, Ruiru,1,1,1,1,15000
 Kiambu, Membley Estate,1,1,1,100,18000
,,3,4,4,2,85000
,,1,1,1,1,45000
 Laikipia, Nanyuki,3,4,4,,12000
,,1,1,1,1,40000
,,3,3,3,2,95000
,,3,3,3,2,80000
,,2,3,3,2,120000
 Kajiado, Ngong,4,3,3,3,120000
,,4,3,4,3,250000
,,1,1,1,2,25000
,,3,4,4,,110000
,,3,2,2,2,85000
 Nairobi, Kilimani,1,1,1,98,45000
 Nairobi, Kilimani,1,1,1,105,50000
,,1,1,1,1,50000
,,3,3,3,2,85000
,,3,2,2,2,75000
,,2,2,2,2,60000
,,1,1,1,1,60000
 Nairobi, Westlands,3,2,,,115000
 Nairobi, Kileleshwa,3,3,3,2,100000
 Kilifi, Mtwapa,3,2,2,1900,65000
,,6,6,7,,3800
 Nairobi, Kilimani,1,1,,,50000
 Nairobi, Kilimani,1,1,1,55,60000
 Nairobi, Kasarani,1,1,1,,11000
 Nairobi, Karen,5,6,6,4,480000
 Westlands, Runda,5,5,6,5,250000
 Nairobi, Kileleshwa,3,3,3,2,110000
,,1,1,1,1,55000
,,2,2,2,1,70000
,,3,2,,,85000
,,3,2,2,,72500
,,3,2,2,,80000
 Nairobi, Karen,6,6,5,5,250000
 Nairobi, Karen,5,5,7,4,350000
 Nairobi, Karen,3,3,3,,200000
 Nairobi, Westlands,1,1,1,1,120000
 Nairobi, Karen,1,1,1,2,80000
 Kilimani,  Argwings Kodhek Road.,3,2,2,198,70000
 Nairobi, Karen,3,3,4,2,150000
 Nairobi, Karen,3,2,2,3,100000
 Nairobi, Karen,3,3,4,3,250000
 Machakos, Syokimau/Mulolongo,4,4,5,2,100000
,,3,3,4,,100000
 Nairobi, Karen,5,5,7,2,350000
 Nairobi, Westlands,2,2,2,2,95000
 Mombasa, Nyali,3,3,,,180000
 Nairobi, Kilimani,3,2,3,,150000
 Nairobi, Westlands,1,1,1,,40000
 Nairobi, Westlands,5,6,6,2023,500000
,,3,3,3,2,90000
,,2,2,3,2,1200
,,2,1,1,,32000
 Kajiado, Ngong,2,1,1,,25000
 Nairobi, Kileleshwa,3,2,3,2,250000
 Nairobi, Westlands,2,4,3,2,230000
 Nairobi, Karen,5,5,7,4,430000
 Nairobi, Karen,6,7,8,2,5000
 Nairobi, Westlands,4,,,,250000
,,4,4,5,2,250000
 Nairobi, Lavington,3,4,4,,130000
,,3,2,2,,230000
 Nairobi, Nairobi Central,,,,,25000
,,3,2,3,2,110000
,,3,3,3,2,110000
 Muthaiga, Old Muthaiga,3,3,2023,,350000
,,4,3,3,5,85000
,,2,3,3,2,75000
,,2,2,3,2,110000
,,2,2,3,2,100000
 Nairobi, Westlands,5,5,5,,220000
,,5,5,5,5,380000
 Nairobi, Westlands,2,2,2,2,170000
 Nairobi, Westlands,2,2,2,2,170000
 Nairobi, Kitisuru,8,8,8,15,400000
 Ongata Rongai, Kajiado,3,3,3,3,30000
 Nairobi, Karen,4,3,4,4,220000
 Mombasa, Nyali,3,3,,,130000
,,3,2,2,,155000
 Thika, Bahati Ridge,4,4,4,4,105000
,,3,3,4,2,180000
,,3,3,4,2,95000
 Nairobi, Westlands,3,3,4,2,190000
,,3,3,3,2,80000
,,3,3,3,2,70000
,,2,1,1,,35000
,,2,2,2,,70000
,,3,2,2,,40000
,,3,2,2,,42000
 Kiambu, Kikuyu,,,,,5000
,,2,1,1,2,55000
,,4,3,3,2,115000
,,3,2,2,1,80000
,,3,3,4,2,95000
,,3,3,3,2,75000
,,2,2,,,50000
,,2,2,2,2,250000
,,3,3,4,2,350000
,,1,1,2,2,220000
 Nairobi, Lavington,3,,,,75000
 Nairobi, Kilimani,1,1,1,,170000
 Nairobi, Kilimani,3,4,4,,180000
 Nairobi, Parklands,3,,,,115000
,,5,,,,400000
 Kiambu, Ruiru,4,3,3,2,110000
,,4,,,,250000
 Mombasa, Nyali,3,3,,,120000
 Nairobi, Karen,4,4,5,2,100000
 Nairobi, Karen,3,2,2,,55000
 Nairobi, Spring Valley,4,4,4,,4000
,,2,2,2,,40000
 Machakos, Syokimau/Mulolongo,1,1,2,,410000
 Nairobi, Karen,5,3,3,4,100000
,,3,3,3,2,90000
,,3,3,4,2,90000
 Nairobi, Karen,5,6,6,2023,500000
 Nairobi, Lavington,6,,,,350000
 Mombasa, Nyali,4,4,,,120000
 Kajiado, Ngong,4,4,4,,100000
 Kajiado, Ngong,3,2,2,,35000
,,2,3,3,2,70000
,,2,3,3,2,180000
,,1,2,2,2,100000
,,2,2,3,,200000
,,5,4,5,2,230000
,,2,1,1,1,60000
 Nairobi, Westlands,4,,,,250000
,,3,,,,150000
 Nairobi, Westlands,2,2,2,2,160000
 Westlands, Runda,2,2,2,2,160000
 Westlands, Loresho,4,4,4,3,250000
 Nairobi, Westlands,1,,,,220000
,,3,3,2,,120000
 Nairobi, Kilimani,3,3,,,100000
 Kilimani, Chiromo,3,4,,,120000
 Nairobi, Kilimani,4,4,,,130000
 Kileleshwa, Kileleshwa,3,4,,,150000
 Kileleshwa, Kileleshwa,2,,,,120000
 Nairobi, Karen,6,6,7,2023,200000
 Westlands, Runda,2,3,3,,120000
 Nairobi, Lavington,5,5,5,,450000
,,2,2,3,2,130000
,,2,2,2,2,120000
,,3,3,3,2,90000
 Runda, Off Kiambu Road,3,3,3,2,80000
,,2,3,3,2,70000
 Machakos, Syokimau/Mulolongo,4,3,3,2,60000
 Nairobi, Karen,4,4,5,3,250000
,,3,3,3,2,110000
,,2,3,5,,65000
,,1,1,1,1,20000
,,4,4,4,3,160000
,,1,1,1,1,55000
 Nairobi, Lavington,5,8,15,500,500000
,,3,2,2,2,70000
,,2,3,3,2,90000
,,3,2,2,2,140000
,,1,1,1,2,40000
 Westlands, Runda,5,5,5,,220000
 Machakos, Syokimau/Mulolongo,3,2,2,2,50000
,,4,3,4,,120000
,,2,2,2,,200000
 Nairobi, Lavington,4,4,5,3,200000
 Nairobi, Lavington,6,6,7,3,170000
,,4,5,6,,325000
 Kiambu, Ruiru,4,4,4,2,150000
 Embakasi, Industrial Area,3,6,3,800,40800
,,,,,,28
 Nairobi, Westlands,4,3,3,,130000
,,3,3,4,,90000
,,2,2,2,2,50000
 Nairobi, Westlands,3,5,,,4000
,,5,5,6,2,450000
 Nairobi, Westlands,3,2,2,,80000
 Nairobi, Westlands,2,1,1,,70000
 Nairobi, Westlands,3,3,3,,350000
 Nairobi, Kilimani,2,2,3,1,85000
 Nairobi, Kilimani,3,3,4,2,120000
 Nairobi, Lavington,4,4,5,2,350000
 Nairobi, Spring Valley,4,4,5,2,350000
 Nairobi, Westlands,,,,,150
 Nairobi, Karen,460,,,,500000
 Nairobi, Kilimani,,,,,400000
 Nairobi, Nairobi Central,,,,,250000
 Kilifi, Junju,3,3,,,120000
,,2,2,2,2,75000
 Nairobi, Spring Valley,130,,,,210000
 Nairobi, Westlands,,,,,120000
 Nairobi, Westlands,100,,,,110000
 Nairobi, Lavington,2,2,3,2,150000
 Westlands, Runda,2,2,2,2,95000
 Nairobi, Westlands,1,1,1,1,75000
,,2,3,3,2,80000
,,2,2,2,2,65000
,,2,2,2,,65000
 Nairobi, Westlands,4,3,4,2,250000
 Nairobi, Westlands,1,1,1,1,110000
,,4,4,5,5,260000
,,4,4,5,4,350000
,,3,3,3,2,120000
,,2,1,1,1,55000
,,3,2,2,2,75000
,,5,5,6,5,450000
 Nairobi, Lavington,5,5,6,2,400000
,,6,7,7,3,280000
,,2,2,2,2,38000
,,1,1,1,2,25000
,,3,5,5,3,220000
,,4,4,4,2,110000
,,3,5,5,2,80000
 Nairobi, Kilimani,1,1,2,1,45000
 Nairobi, Lavington,3,3,3,3,95000
 Nairobi, Karen,5,7,2023,,350000
 Nairobi, Karen,5,6,6,4046,350000
 Nairobi, Lavington,5,5,6,3,300000
 Mombasa, Nyali,3,4,2,2500,65000
 Kilimani,  Ngong Road,4,4,3,198,180000
,,2,2,2,2,55000
,,3,4,4,2,90000
,,2,3,3,,80000
,,1,1,1,2,50000
,,2,2,2,2,65000
,,4,5,5,,170000
 Nairobi, Karen,2,1,1,,100000
,,1,1,1,2,22000
,,3,3,3,2,80000
 Nairobi, Lavington,5,5,6,2,330000
 Westlands, Runda,2,1,1,,1000
 Ruiru, Kamakis,4,4,4,2,100000
 Nairobi, Kilimani,2,2,3,,190000
,,3,3,3,,80000
,,3,5,5,2,85000
 Nairobi, Kasarani,1,1,,,8000
,,3,2,3,2,75000
,,3,2,2,,70000
 Nairobi, Westlands,3,3,3,2,160000
 Nairobi, Parklands,5,3,4,2,180000
 Kilifi, Mtwapa,3,1,2000,,45000
,,3,2,2,,65000
 Nairobi, Kilimani,2,2,4,3695,130000
 Mombasa, Nyali,2,2,2,2000,60000
 Nairobi, Lavington,5,6,15,464,500000
,,5,5,5,3,180000
,,5,5,5,3,220000
,,3,2,2,1,30000
 Nairobi, Kilimani,3,3,4,,100000
 Nairobi, Kilimani,3,1,1,,55000
 Mombasa, Nyali,2,2,2,2000,150000
 Machakos, Athi River,4,4,2,,215000
 Mombasa, Nyali,2,2,2,1900,85000
,,6,6,7,2,725000
 Kajiado, Kitengela,4,3,3,2,90000
 Mombasa, Nyali,3,2,3,1900,45000
 Kiambu, Kikuyu,,,,,38000
 Nairobi, Westlands,2,2,,,70000
 Nairobi, Westlands,1,1,1,1,8000000
,,2,2,2,,70000
 Nairobi, Kilimani,3,3,4,2,120000
,,3,2,2,2,65000
 Mombasa, Nyali,3,2,3,1800,50000
 Karen, Off Ngong Road,3,3,3,,150000
 Mombasa, Nyali,3,3,2,2000,60000
 Kilifi, Mtwapa,2,2,1,,28000
 Nairobi, Kileleshwa,1,1,1,,45000
 Nairobi, Kileleshwa,3,2,2,,80000
 Nairobi, Kileleshwa,4,3,3,,100000
 Kilimani,  Yaya Centre,3,2,3,115,100000
 Kilimani, Argwings Kodhek Road,1,1,1,1,55000
 Nairobi, Parklands,4,4,5,2,170000
 Kiambu, Ruaka,2,2,2,1,48000
 Nairobi, Karen,5,5,5,2,350000
 Kitengela, Yukos,3,2,2,2,35000
 Nairobi, Westlands,8,8,25,3504,650000
 Nairobi, Kileleshwa,3,3,3,2,75000
 Mombasa, Nyali,3,3,2,2000,65000
,,5,6,6,,5000
 Nairobi, Lavington,2,1,1,,65000
 Kilifi, Mtwapa,3,4,4,,120000
 Nairobi, Westlands,1,1,1,1,75000
 Kiambu, Ruaka,3,2,2,2,50000
 Kiambu, Ruaka,2,2,2,2,50000
 Nairobi Central,off Thika Road,5,6,6,,170000
 Nairobi Central,  Limuru Road,4,5,5,,140000
 Nairobi, Westlands,2,2,3,1,95000
 Mombasa, Nyali,3,4,2500,,65000
 Lavington, Off Gitanga Road,2,2,15,500,300000
 Uasin Gishu, Eldoret,4,5,5,,35000
 Nairobi, Kilimani,3,5,198,,130000
 Mombasa, Nyali,6,6,5,3000,150000
 Mombasa, Nyali,3,3,2500,,66000
 Nairobi, Nairobi Central,4,4,4,,450000
 Nairobi, Kilimani,6,3,3,6,200000
 Mombasa, Nyali,3,2,1800,,55000
 Mombasa, Nyali,3,3,2,2000,70000
 Mombasa, Nyali,3,3,2,,55000
,,3,2,2,,100000
 Mombasa, Nyali,1,1,1800,,80000
 Nairobi, Westlands,2,2,2,2,95000
 Nairobi, Kilimani,2,2,2,2,170000
 Kilimani,  Near Uchumi Hyper,1,1,1,1,35000
 Nairobi, Parklands,4,5,6,,350000
 Westlands, Runda,2,1,1,,100000
,,5,5,5,,230000
 Nairobi, Kileleshwa,2,2,2,1,65000
 Mombasa, Nyali,2,1,2,1750,42000
 Mombasa, Nyali,3,2,2,2500,70000
 Mombasa, Nyali,3,4,2,2000,67000
 Mombasa, Nyali,3,2,1750,,80000
,,3,4,4,2,250000
 Nairobi, Kileleshwa,2,1,1,1,65000
 Nairobi, Westlands,3,2,2,,65000
 Nairobi, Kilimani,2,2,2,2,180000
 Nairobi, Karen,6,7,7,,600000
 Nairobi, Karen,350000,,,,350000
,,6,7,7,,170000
 Nairobi, Karen,4,4,4,,250000
 Nairobi Central, Thika Road,2,2,2,,110000
 Nairobi, Karen,6,7,7,,150000
 Westlands, Runda,4,7,7,,280000
 Nairobi, Kilimani,3,3,2,,85000
 Nairobi, Lavington,4,4,4,2,240000
 Nairobi, Kileleshwa,3,3,3,120,96000
 Nairobi, Parklands,1,1,2,,50000
 Nairobi, Kileleshwa,4,4,5,2,160000
 Nairobi, Westlands,2,2,2,2,80000
 Nairobi, Westlands,2,2,2,2,130000
