City,Location,Bedrooms,Bathrooms,Toilets,Price
Nairobi,Kilimani,3,3,3,95000
Nairobi,Lavington,2,2,2,60000
Nairobi,Westlands,1,1,1,10000
Nairobi,Westlands,1,1,1,10000
Nairobi,Parklands,1,1,1,6000
Savannah,Lower,1,1,1,9000
Nairobi,Kiamumbi,2,2,2,17000
Nairobi,Mlolongo,1,1,1,9000
Daima,Imara,1,1,1,7000
Nairobi,Karen,1,1,1,6500
Nairobi,Kitisuru,1,1,1,17000
Nairobi,Umoja,1,1,1,6000
North,Kayole,2,2,2,14000
North,Kayole,1,1,1,3000
Nairobi,Komarock,1,1,1,6000
Nairobi,Komarock,2,2,2,15000
Nairobi,Buruburu,1,1,1,9000
Kahawa,Wendani,1,1,1,13000
Rd,Ngong,1,1,1,9000
Road,Thika,3,3,3,30000
avenue,1st,1,1,1,16000
Nairobi,Utawala,1,1,1,10000
Nairobi,Thome,1,1,1,15000
B,South,1,1,1,9000
Nairobi,Ngara,1,1,1,5500
Daima,Imara,1,1,1,9000
west,Kahawa,1,1,1,8500
Langata,Langata,3,3,3,25000
Nairobi,Umoja,1,1,1,9000
naivas,near,2,2,2,33000
estate,Savannah,1,1,1,16000
Nairobi,Madaraka,2,2,2,18000
success,Zimmerman,1,1,1,12000
Drive,Mirema,3,3,3,27000
estate,Thome,1,1,1,16000
Dam,Langata,1,1,1,15000
Near,Karen,4,4,5,80000
5,Phase,1,1,1,22000
Nairobi,Pangani,1,1,1,9000
shopping,Pangani,1,1,1,18000
Nairobi,Pangani,2,2,2,17000
Nairobi,Buruburu,2,2,2,16000
Nairobi,Parkland,2,2,2,26000
Nairobi,Utawala,2,2,2,18000
LANE,JABAVU,1,1,1,10000
Nairobi,Utawala,3,3,3,28000
Waiyaki,Kangemi,1,1,1,7000
TWO,JAMUHURI,1,1,1,14000
ROAD,NGONG,1,1,1,17000
Nairobi,Parkland,1,1,1,14000
Nairobi,Parkland,1,1,1,8500
Nairobi,Utawala,1,1,1,10000
Nairobi,Utawala,1,1,1,7500
Jamhuri,Jamhuri,1,1,1,13500
Kileleshwa,Kileleshwa,1,1,1,20000
B,South,1,1,1,7000
Sukari,Kahawa,2,2,2,17000
Mara,Donholm,2,2,2,25000
estate,Buruburu,1,1,1,16000
road,Thika,1,1,1,18000
View,Mountain,1,1,1,8500
North,Eastleigh,1,1,1,10000
Nairobi,Parkland,1,1,1,6500
Nairobi,Utawala,1,1,1,8500
Nairobi,Umoja,1,1,1,10000
Ngara,Ngara,1,1,1,11000
Ruthimitu,Uthiru,1,1,1,8000
Nairobi,Utawala,1,1,1,5000
Nairobi,Madaraka,,,,7000
Area,Roysambu,1,1,1,10000
Nairobi,Ruaka,1,1,1,8000
Nairobi,Donholm,1,1,1,10000
Makadara,STRATHMORE,1,1,1,14500
Kiambu,Thindigua,2,2,2,25000
Kasarani,Sunton,1,1,1,8500
Utawala,Utawala,2,2,2,25000
road,Deliverance,1,1,1,11000
B,South,,,,20000
Nairobi,Thome,,,,18000
Donholm,EQUITY,1,1,1,10000
Nairobi,Donholm,,,,17000
Nairobi,Madaraka,,,,18000
Nairobi,Kiamumbi,3,3,,20000
Utawala,UTAWALA,2,2,2,20000
Donholm,DONHOLM,2,2,2,14000
Kasarani,SANDTON,2,2,2,14000
Kasarani,KASARANI,2,2,2,18000
Roysambu,ROYSAMBU,1,1,1,8000
WENDANI,KAHAWA,2,2,2,13000
ROAD,KENYATTA,2,2,2,15000
North,Eastleigh,2,2,2,18000
Nairobi,Kasarani,2,2,2,17000
Nairobi,Donholm,2,2,2,18000
Nairobi,Ruaka,2,2,2,18000
Syokimau,syokimau,1,1,1,9000
North,Eastleigh,1,1,1,12000
North,Eastleigh,1,1,1,7500
Nairobi,Donholm,1,1,1,12000
Nairobi,Donholm,1,1,1,7500
Nairobi,Ruaka,1,1,1,12000
Nairobi,Ruaka,1,1,1,7500
ROAD,JABAVU,2,2,2,32000
Nairobi,Kasarani,1,1,1,9000
Nairobi,Kasarani,2,2,2,17000
Nairobi,Buruburu,1,1,1,5500
Nairobi,Kileleshwa,5,5,5,21000000
avenue,Chania,3,3,3,80000
ROAD,SORE,1,1,1,16000
Dagoretti,Riruta,2,2,2,45000
Eastleigh,NOMADS,2,2,2,16000
Donholm,DONHOLM,1,1,1,10000
Nairobi,Ruaka,2,2,2,22000
Nairobi,Kileleshwa,4,4,4,110000
Nairobi,Buruburu,2,2,2,23000
Nairobi,Madaraka,2,2,2,25000
Nairobi,Utawala,1,1,1,10000
Nairobi,Kileleshwa,2,2,,30000
Nairobi,Madaraka,3,3,,30000
Nairobi,Ruai,1,1,1,5000
close,Muthaiga,1,1,1,7000
Estate,Fedha,1,1,1,6000
North,Eastleigh,2,2,2,23000
Mara,Donholm,2,2,2,17000
Nairobi,Buruburu,2,2,2,17000
Nairobi,Umoja,1,1,1,8000
Kamiti,Kiamumbi,2,2,2,22000
Nairobi,Parklands,2,2,2,40000
Umoja,Umoja,1,1,1,6000
centre,Kasuku,3,3,3,110000
Nairobi,Mirema,3,3,3,25000
Marurui,Marurui,2,2,2,16000
3,Phase,1,1,1,10000
Estate,Garden,1,1,1,14000
Nairobi,Fedha,2,2,2,16000
Kabete,Lower,1,1,1,7000
Nairobi,Fedha,2,2,2,15000
Nairobi,Highridge,2,2,2,27000
