Price,Bedrooms,Bathrooms,City,Location
155000,4,4,Nairobi,General Mathenge
100000,3,4,Nairobi,Kilimani
75000,3,5,Nairobi, Lavington
135000,3,4,Nairobi,Kilimani
50000,3,,Nairobi,Imara Daima
150000,2,,Nairobi,Waiyaki Way
100000,2,3,Nairobi, Kilimani
100000,3,3,Nairobi,Westlands Area
85000,4,,Nairobi,Thika Road
65000,2,2,Nairobi,Kilimani
95000,2,2,Nairobi, Rhapta Road
75000,3,3,Nairobi,Thindigua
65000,3,2,Nairobi,Kileleshwa
85000,1,1,Nairobi,Riverside
220000,3,3,Nairobi, Riverside
120000,3,3,Nairobi,Parklands
50000,0,1,Nairobi,Waiyaki Way
85000,2,2,Nairobi, Lavington
12000,1,1,Nairobi, Nyali Area
13000,0,,Nairobi, Waiyaki Way
13000,2,1,Nairobi, Ruaka
13000,0,1,Nairobi,Ruaka
13000,1,1,Nairobi, Bamburi
14000,2,1,Nairobi, Ruaka
15000,2,1,Nairobi,Ruaka
15000,1,1,Nairobi, Uthiru/Ruthimitu
15000,0,1,Nairobi,Kiambu Road
15000,2,1,Nairobi, Zimmermann
16000,2,2,Nairobi, Ruaka
16000,1,1,Nairobi,Kasarani Area
16000,2,1,Nairobi, Uthiru/Ruthimitu
16000,1,1,Nairobi,Ngong
16000,1,1,Nairobi, Ruaka
98000,3,3,Nairobi, Kilimani
200000,3,3,Nairobi,General Mathenge
16000,1,1,Nairobi, Kasarani Area
16000,1,,Nairobi,Ruaka
17000,1,,Nairobi,Athi River Area
17000,1,1,Nairobi,Sub zone
17000,2,2,Nairobi, Ruaka
17000,2,2,Nairobi,Ruaka
17000,2,,Nairobi, Ngong
17500,1,,Nairobi,Imara Daima
18000,2,2,Nairobi, Ruaka
18000,1,1,Nairobi, Nyali Area
18000,1,1,Nairobi, Kikuyu Town
19000,1,1,Nairobi, Nyali Area
20000,1,,Nairobi, Kitisuru
20000,1,1,Nairobi, Riruta
20000,2,,Nairobi, Kasarani Area
70000,2,2,Nairobi,Kilimani
75000,2,2,Nairobi, Kilimani
20000,1,1,Nairobi, Ruaka
20000,2,2,Nairobi, Ruiru
20000,1,1,Nairobi,Ruaka
20000,1,1,Nairobi, Nyali Area
20000,2,2,Nairobi, Ruaka
20000,1,1,Nairobi, Nyali Area
20000,1,1,Nairobi, Ruaka
20000,2,,Nairobi,Ongata Rongai
20000,2,2,Nairobi,Kisumu Central Area
22000,2,2,Nairobi,Kikuyu Town
22000,2,1,Nairobi, Kabete Area
22000,2,1,Nairobi,Ngong
280000,3,,Nairobi,Riverside
18000,1,1,Nairobi, Kikuyu Town
23000,1,1,Nairobi, Ruaka
23000,2,2,Nairobi,Kisumu Central Area
24000,2,2,Nairobi,Utawala
24000,,,Nairobi,Nairobi West
24000,2,2,Nairobi, Frere Town
25000,3,2,Nairobi, Thika
25000,2,,Nairobi, Ruaka
25000,1,1,Nairobi,Ruaka
25000,2,2,Nairobi,Imara Daima
25000,2,2,Nairobi, Kikuyu Town
25000,2,1,Nairobi, Dagoretti Corner
25000,2,,Nairobi,Nyali Area
25000,1,,Nairobi,Ruaka
100000,3,3,Nairobi, Kileleshwa
25000,1,,Nairobi,Ruaka
25000,1,1,Nairobi, Ruaka
25000,2,1,Nairobi, Ruiru
26000,1,,Nairobi, Garden Estate
27000,1,1,Nairobi, Ngumo Estate
28000,2,2,Nairobi,Ruaka
28000,2,2,Nairobi,Syokimau
28000,1,1,Nairobi, Nyali Area
28000,2,2,Nairobi,Kikuyu Town
28000,2,2,Nairobi, Ruaka
28000,2,2,Nairobi, Mombasa Road
28000,2,2,Nairobi, Ziwa La Ngombe
28000,2,2,Nairobi, Nyali Area
28000,2,2,Nairobi,Syokimau
200000,5,5,Nairobi, Kilimani
28000,2,2,Nairobi, Ruaka
30000,1,1,Nairobi,Kisumu West
30000,2,1,Nairobi, Kiambu Road
30000,2,2,Nairobi, Thika East
30000,1,1,Nairobi, Karen
30000,0,,Nairobi,Kileleshwa
30000,2,2,Nairobi, Ruaka
30000,2,2,Nairobi, Ruaka
30000,1,1,Nairobi, Parklands
30000,3,3,Nairobi, Ziwa La Ngombe
30000,2,3,Nairobi, Mtwapa
30000,1,1,Nairobi, Ngong Road
30000,2,,Nairobi,New Kitusuru
30000,1,1,Nairobi, Ruaka
30000,3,2,Nairobi,Syokimau
175000,2,2,Nairobi,Thigiri
145000,3,5,Nairobi, Riverside
30000,2,2,Nairobi,Mombasa Road
30000,2,2,Nairobi, Imara Daima
30000,2,2,Nairobi, Kiambu Town
32000,2,2,Nairobi,Ruaka
32000,1,1,Nairobi, Ngong Road
32500,2,2,Nairobi, Ruaka
33000,3,2,Nairobi, Syokimau
33000,3,2,Nairobi, Ngong
33500,3,3,Nairobi, Eldoret North
35000,,,Nairobi,Ruaka
35000,2,3,Nairobi, Windsor
35000,,,Nairobi,Nairobi West
35000,1,,Nairobi,Kileleshwa
35000,1,1,Nairobi,Kiambu Road
130000,2,2,Nairobi, Kileleshwa
35000,1,1,Nairobi, Kiambu Road
35000,2,,Nairobi,Imara Daima
35000,3,2,Nairobi, Syokimau
35000,2,2,Nairobi,Imara Daima
35000,2,2,Nairobi,Lower Kabete
35000,2,2,Nairobi, Ruaka
35000,2,2,Nairobi,Kahawa Sukari
35000,2,1,Nairobi,Langata Area
35000,3,2,Nairobi, Nyali Area
