City,Location,Bedrooms,Bathrooms,Toilets,Parking,Price
 Machakos, Syokimau/Mulolongo,4,4,4,,"100,000"
 Westlands, Runda,3,3,3,2,"180,000"
 Nairobi, Spring Valley,5,5,5,4,"380,000"
 Nairobi, Thindigua,3,3,3,,"55,000"
 Nairobi, Westlands,4,4,4,4,"265,000"
 Nairobi, Spring Valley,4,4,4,3,"270,000"
 Nairobi, Kitisuru,5,5,5,,"5,500"
 Kiambu, Cianda,4,4,4,2,"100,000"
 Nairobi, Westlands,4,4,4,4,"650,000"
 Nairobi, Kitisuru,5,5,5,3,"500,000"
 Nairobi, Westlands,2,2,3,1,"95,000"
 Nairobi, Kileleshwa,6,6,7,2,"3,300"
,,3,3,3,2,"95,000"
 Nairobi, Kileleshwa,2,,,,"150,000"
,,3,3,3,2,"85,000"
,,3,4,4,2,"100,000"
 Kiambu, Membley Estate,4,3,3,4,"120,000"
,,5,5,6,2,"200,000"
,,3,3,4,2,"110,000"
 Nairobi, Westlands,3,2,,,"250,000"
,,5,5,5,4,"350,000"
,,5,6,7,,"500,000"
 Nairobi, Kilimani,4,3,3,,"120,000"
,,1,1,,,"45,000"
,,2,1,1,,"55,000"
,,3,3,3,2,"75,000"
 Kiambu, Ruiru,1,1,1,1,"15,000"
 Kiambu, Membley Estate,1,1,1,100,"18,000"
,,3,4,4,2,"85,000"
,,1,1,1,1,"45,000"
 Laikipia, Nanyuki,3,4,4,,"12,000"
,,1,1,1,1,"40,000"
,,3,3,3,2,"95,000"
,,3,3,3,2,"80,000"
,,2,3,3,2,"120,000"
 Kajiado, Ngong,4,3,3,3,"120,000"
,,4,3,4,3,"250,000"
,,1,1,1,2,"25,000"
,,3,4,4,,"110,000"
,,3,2,2,2,"85,000"
 Nairobi, Kilimani,1,1,1,98,"45,000"
 Nairobi, Kilimani,1,1,1,105,"50,000"
,,1,1,1,1,"50,000"
,,3,3,3,2,"85,000"
,,3,2,2,2,"75,000"
,,2,2,2,2,"60,000"
,,1,1,1,1,"60,000"
 Nairobi, Westlands,3,2,,,"115,000"
 Nairobi, Kileleshwa,3,3,3,2,"100,000"
 Kilifi, Mtwapa,3,2,2,"1,900","65,000"
,,6,6,7,,"3,800"
 Nairobi, Kilimani,1,1,,,"50,000"
 Nairobi, Kilimani,1,1,1,55,"60,000"
 Nairobi, Kasarani,1,1,1,,"11,000"
 Nairobi, Karen,5,6,6,4,"480,000"
 Westlands, Runda,5,5,6,5,"250,000"
 Nairobi, Kileleshwa,3,3,3,2,"110,000"
,,1,1,1,1,"55,000"
,,2,2,2,1,"70,000"
,,3,2,,,"85,000"
,,3,2,2,,"72,500"
,,3,2,2,,"80,000"
 Nairobi, Karen,6,6,5,5,"250,000"
 Nairobi, Karen,5,5,7,4,"350,000"
 Nairobi, Karen,3,3,3,,"200,000"
 Nairobi, Westlands,1,1,1,1,"120,000"
 Nairobi, Karen,1,1,1,2,"80,000"
 Kilimani,  Argwings Kodhek Road.,3,2,2,198,"70,000"
 Nairobi, Karen,3,3,4,2,"150,000"
 Nairobi, Karen,3,2,2,3,"100,000"
 Nairobi, Karen,3,3,4,3,"250,000"
 Machakos, Syokimau/Mulolongo,4,4,5,2,"100,000"
,,3,3,4,,"100,000"
 Nairobi, Karen,5,5,7,2,"350,000"
 Nairobi, Westlands,2,2,2,2,"95,000"
 Mombasa, Nyali,3,3,,,"180,000"
 Nairobi, Kilimani,3,2,3,,"150,000"
 Nairobi, Westlands,1,1,1,,"40,000"
 Nairobi, Westlands,5,6,6,"2,023","500,000"
,,3,3,3,2,"90,000"
,,2,2,3,2,"1,200"
,,2,1,1,,"32,000"
 Kajiado, Ngong,2,1,1,,"25,000"
 Nairobi, Kileleshwa,3,2,3,2,"250,000"
 Nairobi, Westlands,2,4,3,2,"230,000"
 Nairobi, Karen,5,5,7,4,"430,000"
 Nairobi, Karen,6,7,8,2,"5,000"
 Nairobi, Westlands,4,,,,"250,000"
,,4,4,5,2,"250,000"
 Nairobi, Lavington,3,4,4,,"130,000"
,,3,2,2,,"230,000"
 Nairobi, Nairobi Central,,,,,"25,000"
,,3,2,3,2,"110,000"
,,3,3,3,2,"110,000"
 Muthaiga, Old Muthaiga,3,3,"2,023",,"350,000"
,,4,3,3,5,"85,000"
,,2,3,3,2,"75,000"
,,2,2,3,2,"110,000"
,,2,2,3,2,"100,000"
 Nairobi, Westlands,5,5,5,,"220,000"
,,5,5,5,5,"380,000"
 Nairobi, Westlands,2,2,2,2,"170,000"
 Nairobi, Westlands,2,2,2,2,"170,000"
 Nairobi, Kitisuru,8,8,8,15,"400,000"
 Ongata Rongai, Kajiado,3,3,3,3,"30,000"
 Nairobi, Karen,4,3,4,4,"220,000"
 Mombasa, Nyali,3,3,,,"130,000"
,,3,2,2,,"155,000"
 Thika, Bahati Ridge,4,4,4,4,"105,000"
,,3,3,4,2,"180,000"
,,3,3,4,2,"95,000"
 Nairobi, Westlands,3,3,4,2,"190,000"
,,3,3,3,2,"80,000"
,,3,3,3,2,"70,000"
,,2,1,1,,"35,000"
,,2,2,2,,"70,000"
,,3,2,2,,"40,000"
,,3,2,2,,"42,000"
 Kiambu, Kikuyu,,,,,"5,000"
,,2,1,1,2,"55,000"
,,4,3,3,2,"115,000"
,,3,2,2,1,"80,000"
,,3,3,4,2,"95,000"
,,3,3,3,2,"75,000"
,,2,2,,,"50,000"
,,2,2,2,2,"250,000"
,,3,3,4,2,"350,000"
,,1,1,2,2,"220,000"
 Nairobi, Lavington,3,,,,"75,000"
 Nairobi, Kilimani,1,1,1,,"170,000"
 Nairobi, Kilimani,3,4,4,,"180,000"
 Nairobi, Parklands,3,,,,"115,000"
,,5,,,,"400,000"
 Kiambu, Ruiru,4,3,3,2,"110,000"
,,4,,,,"250,000"
 Mombasa, Nyali,3,3,,,"120,000"
 Nairobi, Karen,4,4,5,2,"100,000"
 Nairobi, Karen,3,2,2,,"55,000"
 Nairobi, Spring Valley,4,4,4,,"4,000"
,,2,2,2,,"40,000"
 Machakos, Syokimau/Mulolongo,1,1,2,,"410,000"
 Nairobi, Karen,5,3,3,4,"100,000"
,,3,3,3,2,"90,000"
,,3,3,4,2,"90,000"
 Nairobi, Karen,5,6,6,"2,023","500,000"
 Nairobi, Lavington,6,,,,"350,000"
 Mombasa, Nyali,4,4,,,"120,000"
 Kajiado, Ngong,4,4,4,,"100,000"
 Kajiado, Ngong,3,2,2,,"35,000"
,,2,3,3,2,"70,000"
,,2,3,3,2,"180,000"
,,1,2,2,2,"100,000"
,,2,2,3,,"200,000"
,,5,4,5,2,"230,000"
,,2,1,1,1,"60,000"
 Nairobi, Westlands,4,,,,"250,000"
,,3,,,,"150,000"
 Nairobi, Westlands,2,2,2,2,"160,000"
 Westlands, Runda,2,2,2,2,"160,000"
 Westlands, Loresho,4,4,4,3,"250,000"
 Nairobi, Westlands,1,,,,"220,000"
,,3,3,2,,"120,000"
 Nairobi, Kilimani,3,3,,,"100,000"
 Kilimani, Chiromo,3,4,,,"120,000"
 Nairobi, Kilimani,4,4,,,"130,000"
 Kileleshwa, Kileleshwa,3,4,,,"150,000"
 Kileleshwa, Kileleshwa,2,,,,"120,000"
 Nairobi, Karen,6,6,7,"2,023","200,000"
 Westlands, Runda,2,3,3,,"120,000"
 Nairobi, Lavington,5,5,5,,"450,000"
,,2,2,3,2,"130,000"
,,2,2,2,2,"120,000"
,,3,3,3,2,"90,000"
 Runda, Off Kiambu Road,3,3,3,2,"80,000"
,,2,3,3,2,"70,000"
 Machakos, Syokimau/Mulolongo,4,3,3,2,"60,000"
 Nairobi, Karen,4,4,5,3,"250,000"
,,3,3,3,2,"110,000"
,,2,3,5,,"65,000"
,,1,1,1,1,"20,000"
,,4,4,4,3,"160,000"
,,1,1,1,1,"55,000"
 Nairobi, Lavington,5,8,15,500,"500,000"
,,3,2,2,2,"70,000"
,,2,3,3,2,"90,000"
,,3,2,2,2,"140,000"
,,1,1,1,2,"40,000"
 Westlands, Runda,5,5,5,,"220,000"
 Machakos, Syokimau/Mulolongo,3,2,2,2,"50,000"
,,4,3,4,,"120,000"
,,2,2,2,,"200,000"
 Nairobi, Lavington,4,4,5,3,"200,000"
 Nairobi, Lavington,6,6,7,3,"170,000"
,,4,5,6,,"325,000"
 Kiambu, Ruiru,4,4,4,2,"150,000"
 Embakasi, Industrial Area,3,6,3,800,"40,800"
,,,,,,28
 Nairobi, Westlands,4,3,3,,"130,000"
,,3,3,4,,"90,000"
,,2,2,2,2,"50,000"
 Nairobi, Westlands,3,5,,,"4,000"
,,5,5,6,2,"450,000"
 Nairobi, Westlands,3,2,2,,"80,000"
 Nairobi, Westlands,2,1,1,,"70,000"
 Nairobi, Westlands,3,3,3,,"350,000"
 Nairobi, Kilimani,2,2,3,1,"85,000"
 Nairobi, Kilimani,3,3,4,2,"120,000"
 Nairobi, Lavington,4,4,5,2,"350,000"
 Nairobi, Spring Valley,4,4,5,2,"350,000"
 Nairobi, Westlands,,,,,150
 Nairobi, Karen,460,,,,"500,000"
 Nairobi, Kilimani,,,,,"400,000"
 Nairobi, Nairobi Central,,,,,"250,000"
 Kilifi, Junju,3,3,,,"120,000"
,,2,2,2,2,"75,000"
 Nairobi, Spring Valley,130,,,,"210,000"
 Nairobi, Westlands,,,,,"120,000"
 Nairobi, Westlands,100,,,,"110,000"
 Nairobi, Lavington,2,2,3,2,"150,000"
 Westlands, Runda,2,2,2,2,"95,000"
 Nairobi, Westlands,1,1,1,1,"75,000"
,,2,3,3,2,"80,000"
,,2,2,2,2,"65,000"
,,2,2,2,,"65,000"
 Nairobi, Westlands,4,3,4,2,"250,000"
 Nairobi, Westlands,1,1,1,1,"110,000"
,,4,4,5,5,"260,000"
,,4,4,5,4,"350,000"
,,3,3,3,2,"120,000"
,,2,1,1,1,"55,000"
,,3,2,2,2,"75,000"
,,5,5,6,5,"450,000"
 Nairobi, Lavington,5,5,6,2,"400,000"
,,6,7,7,3,"280,000"
,,2,2,2,2,"38,000"
,,1,1,1,2,"25,000"
,,3,5,5,3,"220,000"
,,4,4,4,2,"110,000"
,,3,5,5,2,"80,000"
 Nairobi, Kilimani,1,1,2,1,"45,000"
 Nairobi, Lavington,3,3,3,3,"95,000"
 Nairobi, Karen,5,7,"2,023",,"350,000"
 Nairobi, Karen,5,6,6,"4,046","350,000"
 Nairobi, Lavington,5,5,6,3,"300,000"
 Mombasa, Nyali,3,4,2,"2,500","65,000"
 Kilimani,  Ngong Road,4,4,3,198,"180,000"
,,2,2,2,2,"55,000"
,,3,4,4,2,"90,000"
,,2,3,3,,"80,000"
,,1,1,1,2,"50,000"
,,2,2,2,2,"65,000"
,,4,5,5,,"170,000"
 Nairobi, Karen,2,1,1,,"100,000"
,,1,1,1,2,"22,000"
,,3,3,3,2,"80,000"
 Nairobi, Lavington,5,5,6,2,"330,000"
 Westlands, Runda,2,1,1,,"1,000"
 Ruiru, Kamakis,4,4,4,2,"100,000"
 Nairobi, Kilimani,2,2,3,,"190,000"
,,3,3,3,,"80,000"
,,3,5,5,2,"85,000"
 Nairobi, Kasarani,1,1,,,"8,000"
,,3,2,3,2,"75,000"
,,3,2,2,,"70,000"
 Nairobi, Westlands,3,3,3,2,"160,000"
 Nairobi, Parklands,5,3,4,2,"180,000"
 Kilifi, Mtwapa,3,1,"2,000",,"45,000"
,,3,2,2,,"65,000"
 Nairobi, Kilimani,2,2,4,"3,695","130,000"
 Mombasa, Nyali,2,2,2,"2,000","60,000"
 Nairobi, Lavington,5,6,15,464,"500,000"
,,5,5,5,3,"180,000"
,,5,5,5,3,"220,000"
,,3,2,2,1,"30,000"
 Nairobi, Kilimani,3,3,4,,"100,000"
 Nairobi, Kilimani,3,1,1,,"55,000"
 Mombasa, Nyali,2,2,2,"2,000","150,000"
 Machakos, Athi River,4,4,2,,"215,000"
 Mombasa, Nyali,2,2,2,"1,900","85,000"
,,6,6,7,2,"725,000"
 Kajiado, Kitengela,4,3,3,2,"90,000"
 Mombasa, Nyali,3,2,3,"1,900","45,000"
 Kiambu, Kikuyu,,,,,"38,000"
 Nairobi, Westlands,2,2,,,"70,000"
 Nairobi, Westlands,1,1,1,1,"8,000,000"
,,2,2,2,,"70,000"
 Nairobi, Kilimani,3,3,4,2,"120,000"
,,3,2,2,2,"65,000"
 Mombasa, Nyali,3,2,3,"1,800","50,000"
 Karen, Off Ngong Road,3,3,3,,"150,000"
 Mombasa, Nyali,3,3,2,"2,000","60,000"
 Kilifi, Mtwapa,2,2,1,,"28,000"
 Nairobi, Kileleshwa,1,1,1,,"45,000"
 Nairobi, Kileleshwa,3,2,2,,"80,000"
 Nairobi, Kileleshwa,4,3,3,,"100,000"
 Kilimani,  Yaya Centre,3,2,3,115,"100,000"
 Kilimani, Argwings Kodhek Road,1,1,1,1,"55,000"
 Nairobi, Parklands,4,4,5,2,"170,000"
 Kiambu, Ruaka,2,2,2,1,"48,000"
 Nairobi, Karen,5,5,5,2,"350,000"
 Kitengela, Yukos,3,2,2,2,"35,000"
 Nairobi, Westlands,8,8,25,"3,504","650,000"
 Nairobi, Kileleshwa,3,3,3,2,"75,000"
 Mombasa, Nyali,3,3,2,"2,000","65,000"
,,5,6,6,,"5,000"
 Nairobi, Lavington,2,1,1,,"65,000"
 Kilifi, Mtwapa,3,4,4,,"120,000"
 Nairobi, Westlands,1,1,1,1,"75,000"
 Kiambu, Ruaka,3,2,2,2,"50,000"
 Kiambu, Ruaka,2,2,2,2,"50,000"
 Nairobi Central,off Thika Road,5,6,6,,"170,000"
 Nairobi Central,  Limuru Road,4,5,5,,"140,000"
 Nairobi, Westlands,2,2,3,1,"95,000"
