Price,Bedrooms,Bathrooms,City,Location
"155,000",4.0,4.0,Nairobi,General Mathenge
"100,000",3.0,4.0,Nairobi,Kilimani
"75,000",3.0,5.0,Nairobi, Lavington
"135,000",3.0,4.0,Nairobi,Kilimani
"50,000",3.0,,Nairobi,Imara Daima
"150,000",2.0,,Nairobi,Waiyaki Way
"100,000",2.0,3.0,Nairobi, Kilimani
"100,000",3.0,3.0,Nairobi,Westlands Area
"85,000",4.0,,Nairobi,Thika Road
"65,000",2.0,2.0,Nairobi,Kilimani
"95,000",2.0,2.0,Nairobi, Rhapta Road
"75,000",3.0,3.0,Nairobi,Thindigua
"65,000",3.0,2.0,Nairobi,Kileleshwa
"85,000",1.0,1.0,Nairobi,Riverside
"220,000",3.0,3.0,Nairobi, Riverside
"120,000",3.0,3.0,Nairobi,Parklands
"50,000",0.0,1.0,Nairobi,Waiyaki Way
"85,000",2.0,2.0,Nairobi, Lavington
"12,000",1.0,1.0,Nairobi, Nyali Area
"13,000",0.0,,Nairobi, Waiyaki Way
"13,000",2.0,1.0,Nairobi, Ruaka
"13,000",0.0,1.0,Nairobi,Ruaka
"13,000",1.0,1.0,Nairobi, Bamburi
"14,000",2.0,1.0,Nairobi, Ruaka
"15,000",2.0,1.0,Nairobi,Ruaka
"15,000",1.0,1.0,Nairobi, Uthiru/Ruthimitu
"15,000",0.0,1.0,Nairobi,Kiambu Road
"15,000",2.0,1.0,Nairobi, Zimmermann
"16,000",2.0,2.0,Nairobi, Ruaka
"16,000",1.0,1.0,Nairobi,Kasarani Area
"16,000",2.0,1.0,Nairobi, Uthiru/Ruthimitu
"16,000",1.0,1.0,Nairobi,Ngong
"16,000",1.0,1.0,Nairobi, Ruaka
"98,000",3.0,3.0,Nairobi, Kilimani
"200,000",3.0,3.0,Nairobi,General Mathenge
"16,000",1.0,1.0,Nairobi, Kasarani Area
"16,000",1.0,,Nairobi,Ruaka
"17,000",1.0,,Nairobi,Athi River Area
"17,000",1.0,1.0,Nairobi,Sub zone
"17,000",2.0,2.0,Nairobi, Ruaka
"17,000",2.0,2.0,Nairobi,Ruaka
"17,000",2.0,,Nairobi, Ngong
"17,500",1.0,,Nairobi,Imara Daima
"18,000",2.0,2.0,Nairobi, Ruaka
"18,000",1.0,1.0,Nairobi, Nyali Area
"18,000",1.0,1.0,Nairobi, Kikuyu Town
"19,000",1.0,1.0,Nairobi, Nyali Area
"20,000",1.0,,Nairobi, Kitisuru
"20,000",1.0,1.0,Nairobi, Riruta
"20,000",2.0,,Nairobi, Kasarani Area
"70,000",2.0,2.0,Nairobi,Kilimani
"75,000",2.0,2.0,Nairobi, Kilimani
"20,000",1.0,1.0,Nairobi, Ruaka
"20,000",2.0,2.0,Nairobi, Ruiru
