City,Location,Bedrooms,Bathrooms,Toilets,Price
Nairobi,Kilimani,3 beds,3 baths,3 Toilets,"95,000"
Nairobi,Lavington,3 beds,2 baths,2 Toilets,"60,000"
Nairobi,Westlands,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Westlands,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Parklands,beds,1 baths,1 Toilets,"6,000"
Savannah,Lower,1 beds,1 baths,1 Toilets,"9,000"
Nairobi,Kiamumbi,2 beds,2 baths,2 Toilets,"17,000"
Nairobi,Mlolongo,1 beds,1 baths,1 Toilets,"9,000"
Daima,Imara,1 beds,1 baths,1 Toilets,"7,000"
Nairobi,Karen,beds,1 baths,1 Toilets,"6,500"
Nairobi,Kitisuru,2 beds,1 baths,1 Toilets,"17,000"
Nairobi,Umoja,1 beds,1 baths,1 Toilets,"6,000"
North,Kayole,2 beds,2 baths,2 Toilets,"14,000"
North,Kayole,1 beds,1 baths,1 Toilets,"3,000"
Nairobi,Komarock,1 beds,1 baths,1 Toilets,"6,000"
Nairobi,Komarock,2 beds,2 baths,2 Toilets,"15,000"
Nairobi,Buruburu,1 beds,1 baths,1 Toilets,"9,000"
Kahawa,Wendani,2 beds,1 baths,1 Toilets,"13,000"
Rd,Ngong,1 beds,1 baths,1 Toilets,"9,000"
Road,Thika,3 beds,3 baths,3 Toilets,"30,000"
avenue,1st,1 beds,1 baths,1 Toilets,"16,000"
Nairobi,Utawala,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Thome,1 beds,1 baths,1 Toilets,"15,000"
B,South,1 beds,1 baths,1 Toilets,"9,000"
Nairobi,Ngara,beds,1 baths,1 Toilets,"5,500"
Daima,Imara,1 beds,1 baths,1 Toilets,"9,000"
west,Kahawa,1 beds,1 baths,1 Toilets,"8,500"
Langata,Langata,3 beds,3 baths,3 Toilets,"25,000"
Nairobi,Umoja,1 beds,1 baths,1 Toilets,"9,000"
naivas,near,2 beds,2 baths,2 Toilets,"33,000"
estate,Savannah,2 beds,1 baths,1 Toilets,"16,000"
Nairobi,Madaraka,2 beds,2 baths,2 Toilets,"18,000"
success,Zimmerman,1 beds,1 baths,1 Toilets,"12,000"
Drive,Mirema,3 beds,3 baths,3 Toilets,"27,000"
estate,Thome,2 beds,1 baths,1 Toilets,"16,000"
Dam,Langata,1 beds,1 baths,1 Toilets,"15,000"
Near,Karen,4 beds,4 baths,5 Toilets,"80,000"
5,Phase,3 beds,1 baths,1 Toilets,"22,000"
Nairobi,Pangani,1 beds,1 baths,1 Toilets,"9,000"
shopping,Pangani,2 beds,1 baths,1 Toilets,"18,000"
Nairobi,Pangani,2 beds,2 baths,2 Toilets,"17,000"
Nairobi,Buruburu,2 beds,2 baths,2 Toilets,"16,000"
Nairobi,Parkland,2 beds,2 baths,2 Toilets,"26,000"
Nairobi,Utawala,2 beds,2 baths,2 Toilets,"18,000"
LANE,JABAVU,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Utawala,3 beds,3 baths,3 Toilets,"28,000"
Waiyaki,Kangemi,beds,1 baths,1 Toilets,"7,000"
TWO,JAMUHURI,1 beds,1 baths,1 Toilets,"14,000"
ROAD,NGONG,1 beds,1 baths,1 Toilets,"17,000"
Nairobi,Parkland,1 beds,1 baths,1 Toilets,"14,000"
Nairobi,Parkland,1 beds,1 baths,1 Toilets,"8,500"
Nairobi,Utawala,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Utawala,1 beds,1 baths,1 Toilets,"7,500"
Jamhuri,Jamhuri,1 beds,1 baths,1 Toilets,"13,500"
Kileleshwa,Kileleshwa,1 beds,1 baths,1 Toilets,"20,000"
B,South,1 beds,1 baths,1 Toilets,"7,000"
Sukari,Kahawa,2 beds,2 baths,2 Toilets,"17,000"
Mara,Donholm,3 beds,2 baths,2 Toilets,"25,000"
estate,Buruburu,2 beds,1 baths,1 Toilets,"16,000"
road,Thika,2 beds,1 baths,1 Toilets,"18,000"
View,Mountain,1 beds,1 baths,1 Toilets,"8,500"
North,Eastleigh,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Parkland,1 beds,1 baths,1 Toilets,"6,500"
Nairobi,Utawala,1 beds,1 baths,1 Toilets,"8,500"
Nairobi,Umoja,1 beds,1 baths,1 Toilets,"10,000"
Ngara,Ngara,1 beds,1 baths,1 Toilets,"11,000"
Ruthimitu,Uthiru,1 beds,1 baths,1 Toilets,"8,000"
Nairobi,Utawala,1 beds,1 baths,1 Toilets,"5,000"
Nairobi,Madaraka,1 beds, baths, Toilets,"7,000"
Area,Roysambu,1 beds,1 baths,1 Toilets,"10,000"
Nairobi,Ruaka,1 beds,1 baths,1 Toilets,"8,000"
Nairobi,Donholm,1 beds,1 baths,1 Toilets,"10,000"
Makadara,STRATHMORE,1 beds,1 baths,1 Toilets,"14,500"
Kiambu,Thindigua,3 beds,2 baths,2 Toilets,"25,000"
Kasarani,Sunton,beds,1 baths,1 Toilets,"8,500"
Utawala,Utawala,3 beds,2 baths,2 Toilets,"25,000"
road,Deliverance,1 beds,1 baths,1 Toilets,"11,000"
B,South,1 beds, baths, Toilets,"20,000"
