,Price,Bedrooms,Bathrooms,City,Location
0,"KSh 155,000",4.0,4.0,Nairobi,General Mathenge
1,"KSh 100,000",3.0,4.0,Nairobi,Kilimani
2,"KSh 75,000",3.0,5.0,Nairobi, Lavington
3,"KSh 135,000",3.0,4.0,Nairobi,Kilimani
4,"KSh 50,000",3.0,,Nairobi,Imara Daima
5,"KSh 150,000",2.0,,Nairobi,Waiyaki Way
6,"KSh 100,000",2.0,3.0,Nairobi, Kilimani
7,"KSh 100,000",3.0,3.0,Nairobi,Westlands Area
8,"KSh 85,000",4.0,,Nairobi,Thika Road
9,"KSh 65,000",2.0,2.0,Nairobi,Kilimani
10,"KSh 95,000",2.0,2.0,Nairobi, Rhapta Road
11,"KSh 75,000",3.0,3.0,Nairobi,Thindigua
12,"KSh 65,000",3.0,2.0,Nairobi,Kileleshwa
13,"KSh 85,000",1.0,1.0,Nairobi,Riverside
14,"KSh 220,000",3.0,3.0,Nairobi, Riverside
15,"KSh 120,000",3.0,3.0,Nairobi,Parklands
16,"KSh 50,000",0.0,1.0,Nairobi,Waiyaki Way
17,"KSh 85,000",2.0,2.0,Nairobi, Lavington
18,"KSh 12,000",1.0,1.0,Nairobi, Nyali Area
19,"KSh 13,000",0.0,,Nairobi, Waiyaki Way
20,"KSh 13,000",2.0,1.0,Nairobi, Ruaka
21,"KSh 13,000",0.0,1.0,Nairobi,Ruaka
22,"KSh 13,000",1.0,1.0,Nairobi, Bamburi
23,"KSh 14,000",2.0,1.0,Nairobi, Ruaka
24,"KSh 15,000",2.0,1.0,Nairobi,Ruaka
25,"KSh 15,000",1.0,1.0,Nairobi, Uthiru/Ruthimitu
26,"KSh 15,000",0.0,1.0,Nairobi,Kiambu Road
27,"KSh 15,000",2.0,1.0,Nairobi, Zimmermann
28,"KSh 16,000",2.0,2.0,Nairobi, Ruaka
29,"KSh 16,000",1.0,1.0,Nairobi,Kasarani Area
30,"KSh 16,000",2.0,1.0,Nairobi, Uthiru/Ruthimitu
31,"KSh 16,000",1.0,1.0,Nairobi,Ngong
32,"KSh 16,000",1.0,1.0,Nairobi, Ruaka
33,"KSh 98,000",3.0,3.0,Nairobi, Kilimani
34,"KSh 200,000",3.0,3.0,Nairobi,General Mathenge
35,"KSh 16,000",1.0,1.0,Nairobi, Kasarani Area
36,"KSh 16,000",1.0,,Nairobi,Ruaka
37,"KSh 17,000",1.0,,Nairobi,Athi River Area
38,"KSh 17,000",1.0,1.0,Nairobi,Sub zone
39,"KSh 17,000",2.0,2.0,Nairobi, Ruaka
40,"KSh 17,000",2.0,2.0,Nairobi,Ruaka
41,"KSh 17,000",2.0,,Nairobi, Ngong
42,"KSh 17,500",1.0,,Nairobi,Imara Daima
43,"KSh 18,000",2.0,2.0,Nairobi, Ruaka
44,"KSh 18,000",1.0,1.0,Nairobi, Nyali Area
45,"KSh 18,000",1.0,1.0,Nairobi, Kikuyu Town
46,"KSh 19,000",1.0,1.0,Nairobi, Nyali Area
47,"KSh 20,000",1.0,,Nairobi, Kitisuru
48,"KSh 20,000",1.0,1.0,Nairobi, Riruta
49,"KSh 20,000",2.0,,Nairobi, Kasarani Area
50,"KSh 70,000",2.0,2.0,Nairobi,Kilimani
51,"KSh 75,000",2.0,2.0,Nairobi, Kilimani
52,"KSh 20,000",1.0,1.0,Nairobi, Ruaka
53,"KSh 20,000",2.0,2.0,Nairobi, Ruiru
54,"KSh 20,000",1.0,1.0,Nairobi,Ruaka
55,"KSh 20,000",1.0,1.0,Nairobi, Nyali Area
56,"KSh 20,000",2.0,2.0,Nairobi, Ruaka
57,"KSh 20,000",1.0,1.0,Nairobi, Nyali Area
58,"KSh 20,000",1.0,1.0,Nairobi, Ruaka
59,"KSh 20,000",2.0,,Nairobi,Ongata Rongai
60,"KSh 20,000",2.0,2.0,Nairobi,Kisumu Central Area
61,"KSh 22,000",2.0,2.0,Nairobi,Kikuyu Town
62,"KSh 22,000",2.0,1.0,Nairobi, Kabete Area
63,"KSh 22,000",2.0,1.0,Nairobi,Ngong
64,"KSh 280,000",3.0,,Nairobi,Riverside
65,"KSh 18,000",1.0,1.0,Nairobi, Kikuyu Town
66,"KSh 23,000",1.0,1.0,Nairobi, Ruaka
67,"KSh 23,000",2.0,2.0,Nairobi,Kisumu Central Area
68,"KSh 24,000",2.0,2.0,Nairobi,Utawala
69,"KSh 24,000",,,Nairobi,Nairobi West
70,"KSh 24,000",2.0,2.0,Nairobi, Frere Town
71,"KSh 25,000",3.0,2.0,Nairobi, Thika
72,"KSh 25,000",2.0,,Nairobi, Ruaka
73,"KSh 25,000",1.0,1.0,Nairobi,Ruaka
74,"KSh 25,000",2.0,2.0,Nairobi,Imara Daima
75,"KSh 25,000",2.0,2.0,Nairobi, Kikuyu Town
76,"KSh 25,000",2.0,1.0,Nairobi, Dagoretti Corner
77,"KSh 25,000",2.0,,Nairobi,Nyali Area
78,"KSh 25,000",1.0,,Nairobi,Ruaka
79,"KSh 100,000",3.0,3.0,Nairobi, Kileleshwa
80,"KSh 25,000",1.0,,Nairobi,Ruaka
81,"KSh 25,000",1.0,1.0,Nairobi, Ruaka
82,"KSh 25,000",2.0,1.0,Nairobi, Ruiru
83,"KSh 26,000",1.0,,Nairobi, Garden Estate
84,"KSh 27,000",1.0,1.0,Nairobi, Ngumo Estate
85,"KSh 28,000",2.0,2.0,Nairobi,Ruaka
86,"KSh 28,000",2.0,2.0,Nairobi,Syokimau
87,"KSh 28,000",1.0,1.0,Nairobi, Nyali Area
88,"KSh 28,000",2.0,2.0,Nairobi,Kikuyu Town
89,"KSh 28,000",2.0,2.0,Nairobi, Ruaka
90,"KSh 28,000",2.0,2.0,Nairobi, Mombasa Road
91,"KSh 28,000",2.0,2.0,Nairobi, Ziwa La Ngombe
92,"KSh 28,000",2.0,2.0,Nairobi, Nyali Area
93,"KSh 28,000",2.0,2.0,Nairobi,Syokimau
94,"KSh 200,000",5.0,5.0,Nairobi, Kilimani
95,"KSh 28,000",2.0,2.0,Nairobi, Ruaka
96,"KSh 30,000",1.0,1.0,Nairobi,Kisumu West
97,"KSh 30,000",2.0,1.0,Nairobi, Kiambu Road
98,"KSh 30,000",2.0,2.0,Nairobi, Thika East
99,"KSh 30,000",1.0,1.0,Nairobi, Karen
100,"KSh 30,000",0.0,,Nairobi,Kileleshwa
101,"KSh 30,000",2.0,2.0,Nairobi, Ruaka
102,"KSh 30,000",2.0,2.0,Nairobi, Ruaka
103,"KSh 30,000",1.0,1.0,Nairobi, Parklands
104,"KSh 30,000",3.0,3.0,Nairobi, Ziwa La Ngombe
105,"KSh 30,000",2.0,3.0,Nairobi, Mtwapa
106,"KSh 30,000",1.0,1.0,Nairobi, Ngong Road
107,"KSh 30,000",2.0,,Nairobi,New Kitusuru
108,"KSh 30,000",1.0,1.0,Nairobi, Ruaka
109,"KSh 30,000",3.0,2.0,Nairobi,Syokimau
110,"KSh 175,000",2.0,2.0,Nairobi,Thigiri
111,"KSh 145,000",3.0,5.0,Nairobi, Riverside
112,"KSh 30,000",2.0,2.0,Nairobi,Mombasa Road
113,"KSh 30,000",2.0,2.0,Nairobi, Imara Daima
114,"KSh 30,000",2.0,2.0,Nairobi, Kiambu Town
115,"KSh 32,000",2.0,2.0,Nairobi,Ruaka
116,"KSh 32,000",1.0,1.0,Nairobi, Ngong Road
117,"KSh 32,500",2.0,2.0,Nairobi, Ruaka
118,"KSh 33,000",3.0,2.0,Nairobi, Syokimau
119,"KSh 33,000",3.0,2.0,Nairobi, Ngong
120,"KSh 33,500",3.0,3.0,Nairobi, Eldoret North
121,"KSh 35,000",,,Nairobi,Ruaka
122,"KSh 35,000",2.0,3.0,Nairobi, Windsor
123,"KSh 35,000",,,Nairobi,Nairobi West
124,"KSh 35,000",1.0,,Nairobi,Kileleshwa
125,"KSh 35,000",1.0,1.0,Nairobi,Kiambu Road
126,"KSh 130,000",2.0,2.0,Nairobi, Kileleshwa
127,"KSh 35,000",1.0,1.0,Nairobi, Kiambu Road
128,"KSh 35,000",2.0,,Nairobi,Imara Daima
129,"KSh 35,000",3.0,2.0,Nairobi, Syokimau
130,"KSh 35,000",2.0,2.0,Nairobi,Imara Daima
131,"KSh 35,000",2.0,2.0,Nairobi,Lower Kabete
132,"KSh 35,000",2.0,2.0,Nairobi, Ruaka
133,"KSh 35,000",2.0,2.0,Nairobi,Kahawa Sukari
134,"KSh 35,000",2.0,1.0,Nairobi,Langata Area
135,"KSh 35,000",3.0,2.0,Nairobi, Nyali Area
136,"KSh 35,000",2.0,2.0,Nairobi,Imara Daima
137,"KSh 35,000",0.0,,Nairobi, Kilimani
138,"KSh 35,000",3.0,2.0,Nairobi, Syokimau
139,"KSh 35,000",3.0,2.0,Nairobi, Baraka/Nyayo
140,"KSh 35,000",3.0,3.0,Nairobi,Syokimau
